1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0/gepetto-utils-1.0.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.0/gepetto-utils-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.1/gepetto-utils-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.10/gepetto-utils-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.11/gepetto-utils-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.12/gepetto-utils-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.13/gepetto-utils-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.14/gepetto-utils-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.15/gepetto-utils-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.16/gepetto-utils-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.17/gepetto-utils-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.18/gepetto-utils-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.19/gepetto-utils-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.2/gepetto-utils-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.20/gepetto-utils-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.21/gepetto-utils-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.22/gepetto-utils-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.23/gepetto-utils-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.24/gepetto-utils-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.25/gepetto-utils-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.26/gepetto-utils-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.27/gepetto-utils-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.28/gepetto-utils-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.29/gepetto-utils-1.0.29.jar returned status 404
1.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.3/gepetto-utils-1.0.3.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.30/gepetto-utils-1.0.30.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.31/gepetto-utils-1.0.31.jar returned status 404
1.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.32/gepetto-utils-1.0.32.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.33/gepetto-utils-1.0.33.jar returned status 404
1.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.34/gepetto-utils-1.0.34.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.35/gepetto-utils-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.36/gepetto-utils-1.0.36.jar returned status 404
1.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.37/gepetto-utils-1.0.37.jar returned status 404
1.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.38/gepetto-utils-1.0.38.jar returned status 404
1.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.39/gepetto-utils-1.0.39.jar returned status 404
1.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.4/gepetto-utils-1.0.4.jar returned status 404
1.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.40/gepetto-utils-1.0.40.jar returned status 404
1.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.41/gepetto-utils-1.0.41.jar returned status 404
1.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.42/gepetto-utils-1.0.42.jar returned status 404
1.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.43/gepetto-utils-1.0.43.jar returned status 404
1.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.44/gepetto-utils-1.0.44.jar returned status 404
1.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.45/gepetto-utils-1.0.45.jar returned status 404
1.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.46/gepetto-utils-1.0.46.jar returned status 404
1.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/club/gepetto/gepetto-utils/1.0.47/gepetto-utils-1.0.47.jar returned status 404
