11.6	named	eu.hansolo	regulators
11.5.0	named	org.kordamp.ikonli	ikonli-core
11.4.0	named	org.kordamp.ikonli	ikonli-core
11.3.5	named	org.kordamp.ikonli	ikonli-core
11.3.4	named	org.kordamp.ikonli	ikonli-core
11.3.3	named	org.kordamp.ikonli	ikonli-core
11.3.1	named	org.kordamp.ikonli	ikonli-core
11.3.0	named	org.kordamp.ikonli	ikonli-core
11.2.0	named	org.kordamp.ikonli	ikonli-core
11.1.0	named	org.kordamp.ikonli	ikonli-core
11.0.2	named	org.kordamp.ikonli	ikonli-core
11.0.1	named	org.kordamp.ikonli	ikonli-core
11.0.0	named	org.kordamp.ikonli	ikonli-core
