0.0.1	named	io.github.gagessele	v1_6	2023-05-29T00:12:34Z	0.0.1
0.0.2	named	io.github.gagessele	v1_6	2023-05-29T21:17:29Z	0.0.2
0.0.12	named	io.github.gagessele	v1_6	2023-05-31T00:24:34Z	0.0.12
0.0.13	named	io.github.gagessele	v1_6	2023-05-31T10:55:08Z	0.0.13
0.0.14	named	io.github.gagessele	v1_6	2023-06-03T23:39:30Z	0.0.14
0.0.15	named	io.github.gagessele	v1_6	2023-06-04T00:17:59Z	0.0.15
