0.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.9/android-sdk-0.0.9.jar returned status 404
0.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.91/android-sdk-0.0.91.jar returned status 404
0.0.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.92/android-sdk-0.0.92.jar returned status 404
0.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.93/android-sdk-0.0.93.jar returned status 404
0.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.94/android-sdk-0.0.94.jar returned status 404
0.0.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.95/android-sdk-0.0.95.jar returned status 404
0.0.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.96/android-sdk-0.0.96.jar returned status 404
0.0.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.97/android-sdk-0.0.97.jar returned status 404
0.0.975			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.975/android-sdk-0.0.975.jar returned status 404
0.0.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.98/android-sdk-0.0.98.jar returned status 404
0.0.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.99/android-sdk-0.0.99.jar returned status 404
0.0.995			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/0.0.995/android-sdk-0.0.995.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/pushalert/android-sdk/1.0.0/android-sdk-1.0.0.jar returned status 404
