7.452.11	named	com.yahoo.vespa	vespa-http-client	2021-08-17T18:26:20Z	2.12.1
7.455.43	named	com.yahoo.vespa	vespa-http-client	2021-08-26T07:01:27Z	2.12.1
7.456.11	named	com.yahoo.vespa	vespa-http-client	2021-08-31T08:32:48Z	2.12.1
7.457.52	named	com.yahoo.vespa	vespa-http-client	2021-09-01T07:48:44Z	2.12.1
7.458.20	named	com.yahoo.vespa	vespa-http-client	2021-09-02T00:29:11Z	2.12.1
7.460.23	named	com.yahoo.vespa	vespa-http-client	2021-09-07T07:50:23Z	2.12.1
7.462.20	named	com.yahoo.vespa	vespa-http-client	2021-09-08T18:35:39Z	2.12.1
7.463.15	named	com.yahoo.vespa	vespa-http-client	2021-09-13T06:35:13Z	2.12.1
7.464.41	named	com.yahoo.vespa	vespa-http-client	2021-09-14T08:41:16Z	2.12.1
7.465.17	named	com.yahoo.vespa	vespa-http-client	2021-09-14T20:20:57Z	2.12.1
7.466.3	named	com.yahoo.vespa	vespa-http-client	2021-09-16T09:39:56Z	2.12.1
5.0	named	com.hazelcast.jet	hazelcast-jet-files-s3	2021-09-22T12:31:08Z	2.12.1
5.0	named	com.hazelcast.jet	hazelcast-jet-files-gcs	2021-09-22T12:36:48Z	2.12.1
5.0	named	com.hazelcast.jet	hazelcast-jet-files-azure	2021-09-22T12:37:22Z	2.12.1
5.0	named	com.hazelcast.jet	hazelcast-jet-hadoop-all	2021-09-22T12:41:02Z	2.12.1
7.469.18	named	com.yahoo.vespa	vespa-http-client	2021-09-22T12:59:14Z	2.12.1
7.470.24	named	com.yahoo.vespa	vespa-http-client	2021-09-23T09:41:20Z	2.12.1
7.472.1	named	com.yahoo.vespa	vespa-http-client	2021-09-28T12:41:46Z	2.12.1
7.473.17	named	com.yahoo.vespa	vespa-http-client	2021-09-28T22:17:37Z	2.12.1
7.475.17	named	com.yahoo.vespa	vespa-http-client	2021-09-30T18:33:38Z	2.12.1
7.476.1	named	com.yahoo.vespa	vespa-http-client	2021-10-05T00:32:47Z	2.12.1
7.477.12	named	com.yahoo.vespa	vespa-http-client	2021-10-05T19:14:12Z	2.12.1
7.479.3	named	com.yahoo.vespa	vespa-http-client	2021-10-07T20:42:06Z	2.12.1
7.480.66	named	com.yahoo.vespa	vespa-http-client	2021-10-11T22:36:43Z	2.12.1
7.481.18	named	com.yahoo.vespa	vespa-http-client	2021-10-12T18:31:35Z	2.12.1
7.482.13	named	com.yahoo.vespa	vespa-http-client	2021-10-14T10:08:03Z	2.12.1
7.483.19	named	com.yahoo.vespa	vespa-http-client	2021-10-14T18:12:59Z	2.12.1
7.484.47	named	com.yahoo.vespa	vespa-http-client	2021-10-18T18:07:13Z	2.12.1
7.485.19	named	com.yahoo.vespa	vespa-http-client	2021-10-19T18:12:34Z	2.12.1
7.487.27	named	com.yahoo.vespa	vespa-http-client	2021-10-21T14:44:46Z	2.12.1
7.488.67	named	com.yahoo.vespa	vespa-http-client	2021-10-25T22:21:30Z	2.12.1
7.489.25	named	com.yahoo.vespa	vespa-http-client	2021-10-27T04:25:56Z	2.12.1
7.490.17	named	com.yahoo.vespa	vespa-http-client	2021-10-28T00:25:49Z	2.12.1
7.492.78	named	com.yahoo.vespa	vespa-http-client	2021-11-02T06:39:18Z	2.12.1
