$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-ta/$%7Brevision%7D/language-ta-$%7Brevision%7D.jar returned status 404
2.7		2014-09-29T09:35:31Z	
2.8		2014-12-30T10:28:56Z	
2.9		2015-03-30T08:50:18Z	
3.0		2015-06-29T09:08:57Z	
3.1		2015-09-28T09:31:37Z	
3.2		2015-12-29T10:01:18Z	
3.3		2016-03-28T08:49:39Z	
3.4		2016-06-27T08:41:09Z	
3.5		2016-09-30T08:56:16Z	
3.6		2016-12-28T14:12:59Z	
3.7		2017-03-27T10:06:01Z	
3.8		2017-06-27T09:56:58Z	
3.9		2017-09-26T09:34:50Z	
4.0		2017-12-29T09:42:39Z	
4.1		2018-03-27T10:21:01Z	
4.2		2018-06-26T11:38:11Z	
4.3		2018-09-26T11:50:31Z	
4.4		2018-12-27T12:53:21Z	
4.5		2019-03-26T11:23:38Z	
4.6		2019-06-26T07:05:41Z	
4.7		2019-09-28T12:17:59Z	
4.8		2019-12-27T12:57:32Z	
4.9		2020-03-24T12:50:31Z	
5.0		2020-06-26T21:18:40Z	
5.1		2020-09-25T12:12:48Z	
5.2		2020-12-29T15:35:46Z	
5.3		2021-03-29T10:18:35Z	
5.4		2021-06-25T11:56:23Z	
5.5		2021-10-02T10:40:22Z	
5.6		2021-12-29T13:38:40Z	
5.7		2022-03-30T08:05:41Z	
5.8		2022-07-02T14:07:31Z	
5.9		2022-09-28T14:01:53Z	
6.0		2022-12-29T11:29:29Z	
6.1		2023-03-28T11:41:51Z	
6.3		2023-10-06T20:19:29Z	
6.4		2024-03-28T11:43:27Z	
6.5		2024-09-27T13:17:29Z	
6.6		2025-03-28T14:19:27Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
