$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-br/$%7Brevision%7D/language-br-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:07:27Z	
2.2		2013-06-30T14:12:34Z	
2.3.1		2013-10-03T17:58:50Z	
2.4		2013-12-30T10:32:58Z	
2.5		2014-03-31T08:55:44Z	
2.6		2014-06-30T08:35:34Z	
2.7		2014-09-29T09:08:55Z	
2.8		2014-12-30T10:01:32Z	
2.9		2015-03-30T08:38:03Z	
3.0		2015-06-29T08:58:31Z	
3.1		2015-09-28T09:20:12Z	
3.2		2015-12-29T09:51:22Z	
3.3		2016-03-28T08:39:21Z	
3.4		2016-06-27T08:30:03Z	
3.5		2016-09-30T08:46:06Z	
3.6		2016-12-28T13:38:13Z	
3.7		2017-03-27T09:24:13Z	
3.8		2017-06-27T08:47:40Z	
3.9		2017-09-26T09:22:44Z	
4.0		2017-12-29T09:33:33Z	
4.1		2018-03-27T09:07:23Z	
4.2		2018-06-26T11:29:54Z	
4.3		2018-09-26T11:36:24Z	
4.4		2018-12-27T12:33:15Z	
4.5		2019-03-26T10:38:55Z	
4.6		2019-06-26T06:33:13Z	
4.7		2019-09-28T11:49:20Z	
4.8		2019-12-27T12:48:21Z	
4.9		2020-03-24T12:34:58Z	
5.0		2020-06-26T21:05:22Z	
5.1		2020-09-25T12:00:09Z	
5.2		2020-12-29T15:15:29Z	
5.3		2021-03-29T10:05:56Z	
5.4		2021-06-25T11:42:48Z	
5.5		2021-10-02T10:29:38Z	
5.6		2021-12-29T13:25:26Z	
5.7		2022-03-30T07:53:00Z	
5.8		2022-07-02T13:55:18Z	
5.9		2022-09-28T13:50:46Z	
6.0		2022-12-29T11:17:21Z	
6.1		2023-03-28T11:29:21Z	
6.3		2023-10-06T20:09:41Z	
6.4		2024-03-28T11:32:35Z	
6.5		2024-09-27T13:05:27Z	
6.6		2025-03-28T14:13:25Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
