$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/languagetool-wikipedia/$%7Brevision%7D/languagetool-wikipedia-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:22:34Z	
2.2		2013-06-30T14:41:16Z	
2.3.1		2013-10-03T18:24:46Z	
2.4		2013-12-30T10:58:16Z	
2.5		2014-03-31T09:22:09Z	
2.6		2014-06-30T09:06:46Z	
2.7		2014-09-29T09:39:29Z	
2.8		2014-12-30T10:33:34Z	
2.9		2015-03-30T08:52:03Z	
3.0		2015-06-29T09:10:08Z	
3.1		2015-09-28T09:32:51Z	
3.2		2015-12-29T10:02:36Z	
3.3		2016-03-28T08:50:52Z	
3.4		2016-06-27T08:42:23Z	
3.5		2016-09-30T08:58:23Z	
3.6		2016-12-28T14:15:17Z	
3.7		2017-03-27T10:08:03Z	
3.8		2017-06-27T09:59:17Z	
3.9		2017-09-26T09:35:59Z	
4.0		2017-12-29T09:44:26Z	
4.1		2018-03-27T10:23:02Z	
4.2		2018-06-26T11:40:08Z	
4.3		2018-09-26T11:53:24Z	
4.4		2018-12-27T12:55:11Z	
4.5		2019-03-26T11:24:48Z	
4.6		2019-06-26T07:07:30Z	
4.7		2019-09-28T12:20:03Z	
4.8		2019-12-27T12:58:47Z	
4.9		2020-03-24T13:02:13Z	
5.0		2020-06-26T21:21:39Z	
5.1		2020-09-25T12:16:10Z	
5.2		2020-12-29T15:41:03Z	
5.3		2021-03-29T10:21:57Z	
5.4		2021-06-25T11:59:45Z	
5.5		2021-10-02T10:43:02Z	
5.6		2021-12-29T13:41:52Z	
5.7		2022-03-30T08:08:59Z	
5.8		2022-07-02T14:10:26Z	
5.9		2022-09-28T14:04:52Z	
6.0		2022-12-29T11:32:32Z	
6.1		2023-03-28T11:44:59Z	
6.3		2023-10-06T20:22:01Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
