$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-da/$%7Brevision%7D/language-da-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:11:30Z	
2.2		2013-06-30T14:19:01Z	
2.3.1		2013-10-03T18:06:14Z	
2.4		2013-12-30T10:40:10Z	
2.5		2014-03-31T09:03:20Z	
2.6		2014-06-30T08:44:40Z	
2.7		2014-09-29T09:16:56Z	
2.8		2014-12-30T10:10:02Z	
2.9		2015-03-30T08:41:42Z	
3.0		2015-06-29T09:01:56Z	
3.1		2015-09-28T09:24:02Z	
3.2		2015-12-29T09:54:32Z	
3.3		2016-03-28T08:42:26Z	
3.4		2016-06-27T08:33:44Z	
3.5		2016-09-30T08:49:27Z	
3.6		2016-12-28T13:54:12Z	
3.7		2017-03-27T09:32:56Z	
3.8		2017-06-27T09:16:26Z	
3.9		2017-09-26T09:28:06Z	
4.0		2017-12-29T09:36:47Z	
4.1		2018-03-27T09:50:32Z	
4.2		2018-06-26T11:32:41Z	
4.3		2018-09-26T11:43:05Z	
4.4		2018-12-27T12:39:29Z	
4.5		2019-03-26T10:54:15Z	
4.6		2019-06-26T06:43:27Z	
4.7		2019-09-28T11:54:01Z	
4.8		2019-12-27T12:51:18Z	
4.9		2020-03-24T12:39:28Z	
5.0		2020-06-26T21:09:32Z	
5.1		2020-09-25T12:04:45Z	
5.2		2020-12-29T15:21:27Z	
5.3		2021-03-29T10:10:14Z	
5.4		2021-06-25T11:47:15Z	
5.5		2021-10-02T10:33:22Z	
5.6		2021-12-29T13:30:06Z	
5.7		2022-03-30T07:57:32Z	
5.8		2022-07-02T13:59:39Z	
5.9		2022-09-28T13:54:47Z	
6.0		2022-12-29T11:21:36Z	
6.1		2023-03-28T11:34:04Z	
6.3		2023-10-06T20:12:55Z	
6.4		2024-03-28T11:36:20Z	
6.5		2024-09-27T13:09:22Z	
6.6		2025-03-28T14:15:33Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
