$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-tl/$%7Brevision%7D/language-tl-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:19:07Z	
2.2		2013-06-30T14:30:05Z	
2.3.1		2013-10-03T18:20:01Z	
2.4		2013-12-30T10:53:37Z	
2.5		2014-03-31T09:17:16Z	
2.6		2014-06-30T09:01:06Z	
2.7		2014-09-29T09:32:30Z	
2.8		2014-12-30T10:25:37Z	
2.9		2015-03-30T08:48:55Z	
3.0		2015-06-29T09:07:46Z	
3.1		2015-09-28T09:30:23Z	
3.2		2015-12-29T10:00:05Z	
3.3		2016-03-28T08:48:29Z	
3.4		2016-06-27T08:39:54Z	
3.5		2016-09-30T08:54:43Z	
3.6		2016-12-28T14:10:11Z	
3.7		2017-03-27T10:03:09Z	
3.8		2017-06-27T09:52:13Z	
3.9		2017-09-26T09:33:45Z	
4.0		2017-12-29T09:41:03Z	
4.1		2018-03-27T10:20:01Z	
4.2		2018-06-26T11:37:04Z	
4.3		2018-09-26T11:49:20Z	
4.4		2018-12-27T12:52:08Z	
4.5		2019-03-26T11:17:47Z	
4.6		2019-06-26T06:57:40Z	
4.7		2019-09-28T12:11:35Z	
4.8		2019-12-27T12:55:43Z	
4.9		2020-03-24T12:48:24Z	
5.0		2020-06-26T21:15:14Z	
5.1		2020-09-25T12:11:25Z	
5.2		2020-12-29T15:31:58Z	
5.3		2021-03-29T10:16:58Z	
5.4		2021-06-25T11:54:32Z	
5.5		2021-10-02T10:38:52Z	
5.6		2021-12-29T13:36:46Z	
5.7		2022-03-30T08:04:00Z	
5.8		2022-07-02T14:05:56Z	
5.9		2022-09-28T14:00:29Z	
6.0		2022-12-29T11:27:50Z	
6.1		2023-03-28T11:40:13Z	
6.3		2023-10-06T20:18:06Z	
6.4		2024-03-28T11:41:59Z	
6.5		2024-09-27T13:15:30Z	
6.6		2025-03-28T14:18:42Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
