$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-ga/$%7Brevision%7D/language-ga-$%7Brevision%7D.jar returned status 404
4.9		2020-03-24T13:30:26Z	
5.0		2020-06-26T21:19:21Z	
5.1		2020-09-25T12:13:38Z	
5.2		2020-12-29T15:36:53Z	
5.3		2021-03-29T10:19:09Z	
5.4		2021-06-25T11:56:56Z	
5.5		2021-10-02T10:40:53Z	
5.6		2021-12-29T13:39:16Z	
5.7		2022-03-30T08:06:18Z	
5.8		2022-07-02T14:08:03Z	
5.9		2022-09-28T14:02:21Z	
6.0		2022-12-29T11:30:02Z	
6.1		2023-03-28T11:42:23Z	
6.3		2023-10-06T20:19:56Z	
6.4		2024-03-28T11:43:58Z	
6.5		2024-09-27T13:18:00Z	
6.6		2025-03-28T14:19:43Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
