$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-ja/$%7Brevision%7D/language-ja-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:14:19Z	
2.2		2013-06-30T14:23:06Z	
2.3.1		2013-10-03T18:11:14Z	
2.4		2013-12-30T10:44:58Z	
2.5		2014-03-31T09:08:24Z	
2.6		2014-06-30T08:50:27Z	
2.7		2014-09-29T09:22:31Z	
2.8		2014-12-30T10:15:37Z	
2.9		2015-03-30T08:44:26Z	
3.0		2015-06-29T09:04:15Z	
3.1		2015-09-28T09:26:39Z	
3.2		2015-12-29T09:56:27Z	
3.3		2016-03-28T08:44:29Z	
3.4		2016-06-27T08:35:55Z	
3.5		2016-09-30T08:51:22Z	
3.6		2016-12-28T13:59:58Z	
3.7		2017-03-27T09:49:59Z	
3.8		2017-06-27T09:37:46Z	
3.9		2017-09-26T09:29:30Z	
4.0		2017-12-29T09:38:21Z	
4.1		2018-03-27T10:11:25Z	
4.2		2018-06-26T11:34:17Z	
4.3		2018-09-26T11:45:30Z	
4.4		2018-12-27T12:43:52Z	
4.5		2019-03-26T10:56:28Z	
4.6		2019-06-26T06:50:21Z	
4.7		2019-09-28T11:58:24Z	
4.8		2019-12-27T12:53:03Z	
4.9		2020-03-24T12:42:24Z	
5.0		2020-06-26T21:11:30Z	
5.1		2020-09-25T12:07:37Z	
5.2		2020-12-29T15:23:53Z	
5.3		2021-03-29T10:12:41Z	
5.4		2021-06-25T11:49:49Z	
5.5		2021-10-02T10:35:23Z	
5.6		2021-12-29T13:32:21Z	
5.7		2022-03-30T07:59:53Z	
5.8		2022-07-02T14:01:51Z	
5.9		2022-09-28T13:56:58Z	
6.0		2022-12-29T11:23:51Z	
6.1		2023-03-28T11:36:26Z	
6.3		2023-10-06T20:14:50Z	
6.4		2024-03-28T11:38:26Z	
6.5		2024-09-27T13:11:25Z	
6.6		2025-03-28T14:16:37Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
