$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/languagetool-http-client/$%7Brevision%7D/languagetool-http-client-$%7Brevision%7D.jar returned status 404
3.4		2016-06-27T08:43:06Z	
3.5		2016-09-30T08:59:47Z	
3.6		2016-12-28T14:17:26Z	
3.7		2017-03-27T10:10:06Z	
3.8		2017-06-27T10:03:08Z	
3.9		2017-09-26T09:36:41Z	
4.0		2017-12-29T09:45:05Z	
4.1		2018-03-27T10:23:42Z	
4.2		2018-06-26T11:40:48Z	
4.3		2018-09-26T11:54:10Z	
4.4		2018-12-27T12:55:56Z	
4.5		2019-03-26T11:25:54Z	
4.6		2019-06-26T07:08:22Z	
4.7		2019-09-28T12:20:59Z	
4.8		2019-12-27T12:59:32Z	
4.9		2020-03-24T13:03:17Z	
5.0		2020-06-26T21:22:40Z	
5.1		2020-09-25T12:17:04Z	
5.2		2020-12-29T15:42:10Z	
5.3		2021-03-29T10:23:04Z	
5.4		2021-06-25T12:01:10Z	
5.5		2021-10-02T10:44:01Z	
5.6		2021-12-29T13:43:10Z	
5.7		2022-03-30T08:10:05Z	
5.8		2022-07-02T14:11:29Z	
5.9		2022-09-28T14:05:46Z	
6.0		2022-12-29T11:33:48Z	
6.1		2023-03-28T11:46:04Z	
6.3		2023-10-06T20:22:54Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
