$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-gl/$%7Brevision%7D/language-gl-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:12:40Z	
2.2		2013-06-30T14:20:49Z	
2.3.1		2013-10-03T18:08:19Z	
2.4		2013-12-30T10:42:13Z	
2.5		2014-03-31T09:05:29Z	
2.6		2014-06-30T08:47:07Z	
2.7		2014-09-29T09:19:11Z	
2.8		2014-12-30T10:12:20Z	
2.9		2015-03-30T08:43:07Z	
3.0		2015-06-29T09:03:02Z	
3.1		2015-09-28T09:25:17Z	
3.2		2015-12-29T09:55:23Z	
3.3		2016-03-28T08:43:16Z	
3.4		2016-06-27T08:34:40Z	
3.5		2016-09-30T08:50:16Z	
3.6		2016-12-28T13:57:45Z	
3.7		2017-03-27T09:41:59Z	
3.8		2017-06-27T09:29:00Z	
3.9		2017-09-26T09:28:48Z	
4.0		2017-12-29T09:37:39Z	
4.1		2018-03-27T10:05:50Z	
4.2		2018-06-26T11:33:27Z	
4.3		2018-09-26T11:44:21Z	
4.4		2018-12-27T12:41:52Z	
4.5		2019-03-26T10:55:24Z	
4.6		2019-06-26T06:46:35Z	
4.7		2019-09-28T11:56:37Z	
4.8		2019-12-27T12:52:03Z	
4.9		2020-03-24T12:41:00Z	
5.0		2020-06-26T21:10:29Z	
5.1		2020-09-25T12:05:56Z	
5.2		2020-12-29T15:22:38Z	
5.3		2021-03-29T10:11:16Z	
5.4		2021-06-25T11:48:36Z	
5.5		2021-10-02T10:34:21Z	
5.6		2021-12-29T13:31:13Z	
5.7		2022-03-30T07:58:48Z	
5.8		2022-07-02T14:00:49Z	
5.9		2022-09-28T13:55:59Z	
6.0		2022-12-29T11:22:43Z	
6.1		2023-03-28T11:35:19Z	
6.3		2023-10-06T20:13:52Z	
6.4		2024-03-28T11:37:19Z	
6.5		2024-09-27T13:10:24Z	
6.6		2025-03-28T14:16:05Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
