$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-fa/$%7Brevision%7D/language-fa-$%7Brevision%7D.jar returned status 404
2.7		2014-09-29T09:34:34Z	
2.8		2014-12-30T10:27:52Z	
2.9		2015-03-30T08:49:53Z	
3.0		2015-06-29T09:08:36Z	
3.1		2015-09-28T09:31:15Z	
3.2		2015-12-29T10:00:57Z	
3.3		2016-03-28T08:49:19Z	
3.4		2016-06-27T08:40:43Z	
3.5		2016-09-30T08:55:48Z	
3.6		2016-12-28T14:11:51Z	
3.7		2017-03-27T10:05:11Z	
3.8		2017-06-27T09:56:03Z	
3.9		2017-09-26T09:34:30Z	
4.0		2017-12-29T09:41:55Z	
4.1		2018-03-27T10:20:43Z	
4.2		2018-06-26T11:37:47Z	
4.3		2018-09-26T11:50:08Z	
4.4		2018-12-27T12:53:00Z	
4.5		2019-03-26T11:23:14Z	
4.6		2019-06-26T07:04:45Z	
4.7		2019-09-28T12:17:28Z	
4.8		2019-12-27T12:57:12Z	
4.9		2020-03-24T12:49:51Z	
5.0		2020-06-26T21:17:42Z	
5.1		2020-09-25T12:12:19Z	
5.2		2020-12-29T15:35:07Z	
5.3		2021-03-29T10:18:02Z	
5.4		2021-06-25T11:55:50Z	
5.5		2021-10-02T10:39:52Z	
5.6		2021-12-29T13:38:09Z	
5.7		2022-03-30T08:05:07Z	
5.8		2022-07-02T14:07:01Z	
5.9		2022-09-28T14:01:26Z	
6.0		2022-12-29T11:28:56Z	
6.1		2023-03-28T11:41:19Z	
6.3		2023-10-06T20:19:01Z	
6.4		2024-03-28T11:42:59Z	
6.5		2024-09-27T13:17:00Z	
6.6		2025-03-28T14:19:13Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:46Z	
