$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-de-DE-x-simple-language/$%7Brevision%7D/language-de-DE-x-simple-language-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:20:09Z	
2.2		2013-06-30T14:32:02Z	
2.3.1		2013-10-03T18:22:00Z	
2.4		2013-12-30T10:55:31Z	
2.5		2014-03-31T09:19:19Z	
2.6		2014-06-30T09:03:20Z	
2.7		2014-09-29T09:36:30Z	
2.8		2014-12-30T10:30:00Z	
2.9		2015-03-30T08:50:43Z	
3.0		2015-06-29T09:09:18Z	
3.1		2015-09-28T09:31:58Z	
3.2		2015-12-29T10:01:40Z	
3.3		2016-03-28T08:50:04Z	
3.4		2016-06-27T08:41:30Z	
3.5		2016-09-30T08:56:37Z	
3.6		2016-12-28T14:13:37Z	
3.7		2017-03-27T10:06:35Z	
3.8		2017-06-27T09:57:27Z	
3.9		2017-09-26T09:35:10Z	
4.0		2017-12-29T09:43:35Z	
4.1		2018-03-27T10:21:47Z	
4.2		2018-06-26T11:39:01Z	
4.3		2018-09-26T11:52:09Z	
4.4		2018-12-27T12:53:56Z	
4.5		2019-03-26T11:23:59Z	
4.6		2019-06-26T07:06:04Z	
4.7		2019-09-28T12:18:43Z	
4.8		2019-12-27T12:57:53Z	
4.9		2020-03-24T12:51:21Z	
5.0		2020-06-26T21:20:29Z	
5.1		2020-09-25T12:15:01Z	
5.2		2020-12-29T15:39:41Z	
5.3		2021-03-29T10:20:16Z	
5.4		2021-06-25T11:58:16Z	
5.5		2021-10-02T10:41:55Z	
5.6		2021-12-29T13:40:30Z	
5.7		2022-03-30T08:07:41Z	
5.8		2022-07-02T14:09:14Z	
5.9		2022-09-28T14:03:23Z	
6.0		2022-12-29T11:31:13Z	
6.1		2023-03-28T11:43:34Z	
6.3		2023-10-06T20:20:58Z	
6.4		2024-03-28T11:45:33Z	
6.5		2024-09-27T13:19:59Z	
6.6		2025-03-28T14:20:46Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
