$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-en/$%7Brevision%7D/language-en-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:02:07Z	
2.2		2013-06-30T14:04:27Z	
2.3.1		2013-10-03T17:51:50Z	
2.4		2013-12-30T10:26:18Z	
2.5		2014-03-31T08:49:11Z	
2.6		2014-06-30T08:27:38Z	
2.7		2014-09-29T09:02:22Z	
2.8		2014-12-30T09:54:18Z	
2.9		2015-03-30T08:34:49Z	
3.0		2015-06-29T08:55:44Z	
3.1		2015-09-28T09:17:11Z	
3.2		2015-12-29T09:48:41Z	
3.3		2016-03-28T08:36:34Z	
3.4		2016-06-27T08:26:52Z	
3.5		2016-09-30T08:43:13Z	
3.6		2016-12-28T13:24:16Z	
3.7		2017-03-27T09:18:21Z	
3.8		2017-06-27T08:39:53Z	
3.9		2017-09-26T09:14:51Z	
4.0		2017-12-29T09:31:09Z	
4.1		2018-03-27T08:34:50Z	
4.2		2018-06-26T11:26:46Z	
4.3		2018-09-26T11:30:53Z	
4.4		2018-12-27T12:27:37Z	
4.5		2019-03-26T10:28:37Z	
4.6		2019-06-26T06:22:09Z	
4.7		2019-09-28T11:44:07Z	
4.8		2019-12-27T12:45:36Z	
4.9		2020-03-24T12:31:05Z	
5.0		2020-06-26T21:00:57Z	
5.1		2020-09-25T11:55:42Z	
5.2		2020-12-29T15:10:45Z	
5.3		2021-03-29T10:02:18Z	
5.4		2021-06-25T11:38:51Z	
5.5		2021-10-02T10:26:14Z	
5.6		2021-12-29T13:21:34Z	
5.7		2022-03-30T07:49:18Z	
5.8		2022-07-02T13:51:36Z	
5.9		2022-09-28T13:46:03Z	
6.0		2022-12-29T11:14:04Z	
6.1		2023-03-28T11:25:18Z	
6.3		2023-10-06T20:06:28Z	
6.4		2024-03-28T11:29:20Z	
6.5		2024-09-27T13:01:37Z	
6.6		2025-03-28T14:11:04Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
