$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-pt/$%7Brevision%7D/language-pt-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:08:40Z	
2.2		2013-06-30T14:14:47Z	
2.3.1		2013-10-03T18:01:03Z	
2.4		2013-12-30T10:35:09Z	
2.5		2014-03-31T08:57:59Z	
2.6		2014-06-30T08:38:13Z	
2.7		2014-09-29T09:11:29Z	
2.8		2014-12-30T10:04:08Z	
2.9		2015-03-30T08:39:18Z	
3.0		2015-06-29T08:59:38Z	
3.1		2015-09-28T09:21:31Z	
3.2		2015-12-29T09:52:27Z	
3.3		2016-03-28T08:40:27Z	
3.4		2016-06-27T08:31:30Z	
3.5		2016-09-30T08:47:28Z	
3.6		2016-12-28T13:46:35Z	
3.7		2017-03-27T09:27:43Z	
3.8		2017-06-27T08:57:05Z	
3.9		2017-09-26T09:25:41Z	
4.0		2017-12-29T09:34:28Z	
4.1		2018-03-27T09:26:32Z	
4.2		2018-06-26T11:30:50Z	
4.3		2018-09-26T11:39:41Z	
4.4		2018-12-27T12:36:04Z	
4.5		2019-03-26T10:43:07Z	
4.6		2019-06-26T06:35:56Z	
4.7		2019-09-28T11:51:35Z	
4.8		2019-12-27T12:49:25Z	
4.9		2020-03-24T12:36:31Z	
5.0		2020-06-26T21:06:46Z	
5.1		2020-09-25T12:01:59Z	
5.2		2020-12-29T15:17:18Z	
5.3		2021-03-29T10:07:24Z	
5.4		2021-06-25T11:44:15Z	
5.5		2021-10-02T10:30:53Z	
5.6		2021-12-29T13:27:08Z	
5.7		2022-03-30T07:54:39Z	
5.8		2022-07-02T13:56:50Z	
5.9		2022-09-28T13:52:06Z	
6.0		2022-12-29T11:18:45Z	
6.1		2023-03-28T11:30:50Z	
6.3		2023-10-06T20:10:40Z	
6.4		2024-03-28T11:33:35Z	
6.5		2024-09-27T13:06:35Z	
6.6		2025-03-28T14:13:58Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
