$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/languagetool-server/$%7Brevision%7D/languagetool-server-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:24:32Z	
2.2		2013-06-30T14:34:24Z	
2.3.1		2013-10-03T18:25:39Z	
2.4		2013-12-30T10:59:09Z	
2.5		2014-03-31T09:23:06Z	
2.6		2014-06-30T09:07:50Z	
2.7		2014-09-29T09:40:30Z	
2.8		2014-12-30T10:34:39Z	
2.9		2015-03-30T08:52:28Z	
3.0		2015-06-29T09:10:29Z	
3.1		2015-09-28T09:33:14Z	
3.2		2015-12-29T10:03:07Z	
3.3		2016-03-28T08:51:12Z	
3.4		2016-06-27T08:42:44Z	
3.5		2016-09-30T08:59:19Z	
3.6		2016-12-28T14:16:44Z	
3.7		2017-03-27T10:08:47Z	
3.8		2017-06-27T10:01:35Z	
3.9		2017-09-26T09:36:19Z	
4.0		2017-12-29T09:44:46Z	
4.1		2018-03-27T10:23:22Z	
4.2		2018-06-26T11:40:28Z	
4.3		2018-09-26T11:53:46Z	
4.4		2018-12-27T12:55:31Z	
4.5		2019-03-26T11:25:32Z	
4.6		2019-06-26T07:07:54Z	
4.7		2019-09-28T12:20:32Z	
4.8		2019-12-27T12:59:11Z	
4.9		2020-03-24T13:02:47Z	
5.0		2020-06-26T21:22:09Z	
5.1		2020-09-25T12:16:37Z	
5.2		2020-12-29T15:41:34Z	
5.3		2021-03-29T10:22:29Z	
5.4		2021-06-25T12:00:38Z	
5.5		2021-10-02T10:43:31Z	
5.6		2021-12-29T13:42:41Z	
5.7		2022-03-30T08:09:33Z	
5.8		2022-07-02T14:10:58Z	
5.9		2022-09-28T14:05:19Z	
6.0		2022-12-29T11:33:06Z	
6.1		2023-03-28T11:45:32Z	
6.3		2023-10-06T20:22:28Z	
6.4		2024-03-28T11:46:54Z	
6.5		2024-09-27T13:21:04Z	
6.6		2025-03-28T14:21:22Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
