$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-km/$%7Brevision%7D/language-km-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:14:50Z	
2.2		2013-06-30T14:23:44Z	
2.3.1		2013-10-03T18:12:13Z	
2.4		2013-12-30T10:45:58Z	
2.5		2014-03-31T09:09:20Z	
2.6		2014-06-30T08:51:35Z	
2.7		2014-09-29T09:24:07Z	
2.8		2014-12-30T10:16:44Z	
2.9		2015-03-30T08:44:53Z	
3.0		2015-06-29T09:04:38Z	
3.1		2015-09-28T09:27:02Z	
3.2		2015-12-29T09:56:49Z	
3.3		2016-03-28T08:44:52Z	
3.4		2016-06-27T08:36:20Z	
3.5		2016-09-30T08:51:43Z	
3.6		2016-12-28T14:01:15Z	
3.7		2017-03-27T09:54:41Z	
3.8		2017-06-27T09:39:17Z	
3.9		2017-09-26T09:29:56Z	
4.0		2017-12-29T09:38:41Z	
4.1		2018-03-27T10:13:09Z	
4.2		2018-06-26T11:34:41Z	
4.3		2018-09-26T11:46:05Z	
4.4		2018-12-27T12:46:03Z	
4.5		2019-03-26T10:57:46Z	
4.6		2019-06-26T06:51:04Z	
4.7		2019-09-28T11:58:51Z	
4.8		2019-12-27T12:53:26Z	
4.9		2020-03-24T12:43:00Z	
5.0		2020-06-26T21:11:59Z	
5.1		2020-09-25T12:08:28Z	
5.2		2020-12-29T15:24:46Z	
5.3		2021-03-29T10:13:12Z	
5.4		2021-06-25T11:50:39Z	
5.5		2021-10-02T10:35:50Z	
5.6		2021-12-29T13:32:54Z	
5.7		2022-03-30T08:00:26Z	
5.8		2022-07-02T14:02:23Z	
5.9		2022-09-28T13:57:27Z	
6.0		2022-12-29T11:24:25Z	
6.1		2023-03-28T11:36:58Z	
6.3		2023-10-06T20:15:17Z	
6.4		2024-03-28T11:38:54Z	
6.5		2024-09-27T13:11:54Z	
6.6		2025-03-28T14:16:52Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
