$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-nl/$%7Brevision%7D/language-nl-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:08:04Z	
2.2		2013-06-30T14:13:54Z	
2.3.1		2013-10-03T18:00:00Z	
2.4		2013-12-30T10:34:07Z	
2.5		2014-03-31T08:56:55Z	
2.6		2014-06-30T08:36:58Z	
2.7		2014-09-29T09:10:19Z	
2.8		2014-12-30T10:02:58Z	
2.9		2015-03-30T08:38:48Z	
3.0		2015-06-29T08:59:11Z	
3.1		2015-09-28T09:20:57Z	
3.2		2015-12-29T09:52:02Z	
3.3		2016-03-28T08:40:01Z	
3.4		2016-06-27T08:30:47Z	
3.5		2016-09-30T08:46:45Z	
3.6		2016-12-28T13:43:55Z	
3.7		2017-03-27T09:26:57Z	
3.8		2017-06-27T08:55:15Z	
3.9		2017-09-26T09:23:43Z	
4.0		2017-12-29T09:34:04Z	
4.1		2018-03-27T09:23:11Z	
4.2		2018-06-26T11:30:25Z	
4.3		2018-09-26T11:38:56Z	
4.4		2018-12-27T12:34:04Z	
4.5		2019-03-26T10:40:23Z	
4.6		2019-06-26T06:35:13Z	
4.7		2019-09-28T11:51:04Z	
4.8		2019-12-27T12:48:56Z	
4.9		2020-03-24T12:35:51Z	
5.0		2020-06-26T21:06:11Z	
5.1		2020-09-25T12:00:58Z	
5.2		2020-12-29T15:16:18Z	
5.3		2021-03-29T10:06:36Z	
5.4		2021-06-25T11:43:33Z	
5.5		2021-10-02T10:30:15Z	
5.6		2021-12-29T13:26:20Z	
5.7		2022-03-30T07:53:44Z	
5.8		2022-07-02T13:56:03Z	
5.9		2022-09-28T13:51:26Z	
6.0		2022-12-29T11:18:02Z	
6.1		2023-03-28T11:30:06Z	
6.3		2023-10-06T20:10:10Z	
6.4		2024-03-28T11:33:04Z	
6.5		2024-09-27T13:06:01Z	
6.6		2025-03-28T14:13:42Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
