$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-el/$%7Brevision%7D/language-el-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:13:17Z	
2.2		2013-06-30T14:21:49Z	
2.3.1		2013-10-03T18:09:19Z	
2.4		2013-12-30T10:43:08Z	
2.5		2014-03-31T09:06:29Z	
2.6		2014-06-30T08:48:17Z	
2.7		2014-09-29T09:20:28Z	
2.8		2014-12-30T10:13:27Z	
2.9		2015-03-30T08:43:34Z	
3.0		2015-06-29T09:03:29Z	
3.1		2015-09-28T09:25:41Z	
3.2		2015-12-29T09:55:45Z	
3.3		2016-03-28T08:43:37Z	
3.4		2016-06-27T08:35:02Z	
3.5		2016-09-30T08:50:38Z	
3.6		2016-12-28T13:58:28Z	
3.7		2017-03-27T09:44:49Z	
3.8		2017-06-27T09:35:22Z	
3.9		2017-09-26T09:29:09Z	
4.0		2017-12-29T09:38:01Z	
4.1		2018-03-27T10:07:03Z	
4.2		2018-06-26T11:33:51Z	
4.3		2018-09-26T11:45:08Z	
4.4		2018-12-27T12:42:33Z	
4.5		2019-03-26T10:55:59Z	
4.6		2019-06-26T06:48:17Z	
4.7		2019-09-28T11:57:42Z	
4.8		2019-12-27T12:52:35Z	
4.9		2020-03-24T12:41:38Z	
5.0		2020-06-26T21:11:00Z	
5.1		2020-09-25T12:07:04Z	
5.2		2020-12-29T15:23:19Z	
5.3		2021-03-29T10:12:00Z	
5.4		2021-06-25T11:49:09Z	
5.5		2021-10-02T10:34:54Z	
5.6		2021-12-29T13:31:48Z	
5.7		2022-03-30T07:59:21Z	
5.8		2022-07-02T14:01:20Z	
5.9		2022-09-28T13:56:29Z	
6.0		2022-12-29T11:23:18Z	
6.1		2023-03-28T11:35:52Z	
6.3		2023-10-06T20:14:22Z	
6.4		2024-03-28T11:37:57Z	
6.5		2024-09-27T13:10:56Z	
6.6		2025-03-28T14:16:21Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
