$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-pl/$%7Brevision%7D/language-pl-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:05:12Z	
2.2		2013-06-30T14:09:36Z	
2.3.1		2013-10-03T17:55:44Z	
2.4		2013-12-30T10:29:49Z	
2.5		2014-03-31T08:52:44Z	
2.6		2014-06-30T08:31:36Z	
2.7		2014-09-29T09:05:50Z	
2.8		2014-12-30T09:58:06Z	
2.9		2015-03-30T08:36:36Z	
3.0		2015-06-29T08:57:17Z	
3.1		2015-09-28T09:18:51Z	
3.2		2015-12-29T09:50:12Z	
3.3		2016-03-28T08:38:11Z	
3.4		2016-06-27T08:28:44Z	
3.5		2016-09-30T08:44:56Z	
3.6		2016-12-28T13:34:40Z	
3.7		2017-03-27T09:21:29Z	
3.8		2017-06-27T08:44:53Z	
3.9		2017-09-26T09:16:42Z	
4.0		2017-12-29T09:32:27Z	
4.1		2018-03-27T08:36:34Z	
4.2		2018-06-26T11:28:23Z	
4.3		2018-09-26T11:34:22Z	
4.4		2018-12-27T12:31:36Z	
4.5		2019-03-26T10:35:23Z	
4.6		2019-06-26T06:27:37Z	
4.7		2019-09-28T11:45:45Z	
4.8		2019-12-27T12:47:12Z	
4.9		2020-03-24T12:32:55Z	
5.0		2020-06-26T21:03:36Z	
5.1		2020-09-25T11:58:26Z	
5.2		2020-12-29T15:13:32Z	
5.3		2021-03-29T10:04:12Z	
5.4		2021-06-25T11:41:09Z	
5.5		2021-10-02T10:27:54Z	
5.6		2021-12-29T13:23:35Z	
5.7		2022-03-30T07:51:15Z	
5.8		2022-07-02T13:53:40Z	
5.9		2022-09-28T13:48:41Z	
6.0		2022-12-29T11:15:46Z	
6.1		2023-03-28T11:27:28Z	
6.3		2023-10-06T20:08:16Z	
6.4		2024-03-28T11:30:59Z	
6.5		2024-09-27T13:03:42Z	
6.6		2025-03-28T14:12:37Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:45Z	
