$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-ca/$%7Brevision%7D/language-ca-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:06:14Z	
2.2		2013-06-30T14:10:55Z	
2.3.1		2013-10-03T17:56:44Z	
2.4		2013-12-30T10:30:52Z	
2.5		2014-03-31T08:53:45Z	
2.6		2014-06-30T08:32:53Z	
2.7		2014-09-29T09:06:53Z	
2.8		2014-12-30T09:59:16Z	
2.9		2015-03-30T08:37:06Z	
3.0		2015-06-29T08:57:43Z	
3.1		2015-09-28T09:19:17Z	
3.2		2015-12-29T09:50:37Z	
3.3		2016-03-28T08:38:35Z	
3.4		2016-06-27T08:29:12Z	
3.5		2016-09-30T08:45:20Z	
3.6		2016-12-28T13:35:38Z	
3.7		2017-03-27T09:22:48Z	
3.8		2017-06-27T08:45:41Z	
3.9		2017-09-26T09:20:08Z	
4.0		2017-12-29T09:32:48Z	
4.1		2018-03-27T08:47:38Z	
4.2		2018-06-26T11:28:46Z	
4.3		2018-09-26T11:34:47Z	
4.4		2018-12-27T12:32:05Z	
4.5		2019-03-26T10:36:27Z	
4.6		2019-06-26T06:29:36Z	
4.7		2019-09-28T11:46:13Z	
4.8		2019-12-27T12:47:35Z	
4.9		2020-03-24T12:33:44Z	
5.0		2020-06-26T21:04:10Z	
5.1		2020-09-25T11:59:02Z	
5.2		2020-12-29T15:14:12Z	
5.3		2021-03-29T10:04:53Z	
5.4		2021-06-25T11:41:41Z	
5.5		2021-10-02T10:28:27Z	
5.6		2021-12-29T13:24:11Z	
5.7		2022-03-30T07:51:57Z	
5.8		2022-07-02T13:54:14Z	
5.9		2022-09-28T13:49:30Z	
6.0		2022-12-29T11:16:21Z	
6.1		2023-03-28T11:28:08Z	
6.3		2023-10-06T20:08:47Z	
6.4		2024-03-28T11:31:30Z	
6.5		2024-09-27T13:04:16Z	
6.6		2025-03-28T14:12:53Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
