$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/languagetool-core/$%7Brevision%7D/languagetool-core-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:01:23Z	
2.2		2013-06-30T14:03:16Z	
2.3.1		2013-10-03T17:50:39Z	
2.4		2013-12-30T10:25:11Z	
2.4.1		2014-01-08T14:35:24Z	
2.5		2014-03-31T08:48:01Z	
2.6		2014-06-30T08:26:22Z	
2.7		2014-09-29T09:01:13Z	
2.8		2014-12-30T09:53:05Z	
2.9		2015-03-30T08:34:04Z	
3.0		2015-06-29T08:55:14Z	
3.1		2015-09-28T09:16:41Z	
3.2		2015-12-29T09:48:13Z	
3.3		2016-03-28T08:35:56Z	
3.4		2016-06-27T08:26:17Z	
3.5		2016-09-30T08:42:45Z	
3.6		2016-12-28T13:21:15Z	
3.7		2017-03-27T09:17:36Z	
3.8		2017-06-27T08:38:42Z	
3.9		2017-09-26T09:13:42Z	
4.0		2017-12-29T09:30:46Z	
4.1		2018-03-27T08:31:37Z	
4.2		2018-06-26T11:26:19Z	
4.3		2018-09-26T11:29:04Z	
4.4		2018-12-27T12:27:09Z	
4.5		2019-03-26T10:27:15Z	
4.6		2019-06-26T06:21:03Z	
4.7		2019-09-28T11:43:26Z	
4.8		2019-12-27T12:45:12Z	
4.9		2020-03-24T12:30:28Z	
5.0		2020-06-26T21:00:02Z	
5.0.2		2020-08-27T20:18:47Z	
5.1		2020-09-25T11:55:08Z	
5.2		2020-12-29T15:10:08Z	
5.3		2021-03-29T10:01:21Z	
5.4		2021-06-25T11:38:15Z	
5.5		2021-10-02T10:25:41Z	
5.6		2021-12-29T13:20:58Z	
5.7		2022-03-30T07:48:41Z	
5.8		2022-07-02T13:51:03Z	
5.9		2022-09-28T13:45:21Z	
6.0		2022-12-29T11:13:32Z	
6.1		2023-03-28T11:24:40Z	
6.3		2023-10-06T20:05:59Z	
6.4		2024-03-28T11:28:49Z	
6.5		2024-09-27T13:01:05Z	
6.6		2025-03-28T14:10:48Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:46Z	
