$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-eo/$%7Brevision%7D/language-eo-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:12:00Z	
2.2		2013-06-30T14:19:42Z	
2.3.1		2013-10-03T18:07:07Z	
2.4		2013-12-30T10:41:03Z	
2.5		2014-03-31T09:04:16Z	
2.6		2014-06-30T08:45:46Z	
2.7		2014-09-29T09:17:59Z	
2.8		2014-12-30T10:11:08Z	
2.9		2015-03-30T08:42:09Z	
3.0		2015-06-29T09:02:20Z	
3.1		2015-09-28T09:24:40Z	
3.2		2015-12-29T09:54:55Z	
3.3		2016-03-28T08:42:47Z	
3.4		2016-06-27T08:34:05Z	
3.5		2016-09-30T08:49:48Z	
3.6		2016-12-28T13:54:53Z	
3.7		2017-03-27T09:35:48Z	
3.8		2017-06-27T09:24:02Z	
3.9		2017-09-26T09:28:26Z	
4.0		2017-12-29T09:37:14Z	
4.1		2018-03-27T10:00:28Z	
4.2		2018-06-26T11:33:02Z	
4.3		2018-09-26T11:43:32Z	
4.4		2018-12-27T12:39:56Z	
4.5		2019-03-26T10:54:40Z	
4.6		2019-06-26T06:45:16Z	
4.7		2019-09-28T11:55:01Z	
4.8		2019-12-27T12:51:40Z	
4.9		2020-03-24T12:40:12Z	
5.0		2020-06-26T21:10:00Z	
5.1		2020-09-25T12:05:15Z	
5.2		2020-12-29T15:22:00Z	
5.3		2021-03-29T10:10:43Z	
5.4		2021-06-25T11:47:48Z	
5.5		2021-10-02T10:33:52Z	
5.6		2021-12-29T13:30:41Z	
5.7		2022-03-30T07:58:11Z	
5.8		2022-07-02T14:00:12Z	
5.9		2022-09-28T13:55:20Z	
6.0		2022-12-29T11:22:09Z	
6.1		2023-03-28T11:34:37Z	
6.3		2023-10-06T20:13:24Z	
6.4		2024-03-28T11:36:49Z	
6.5		2024-09-27T13:09:51Z	
6.6		2025-03-28T14:15:48Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
