$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-ro/$%7Brevision%7D/language-ro-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:16:23Z	
2.2		2013-06-30T14:26:02Z	
2.3.1		2013-10-03T18:15:08Z	
2.4		2013-12-30T10:48:48Z	
2.5		2014-03-31T09:12:07Z	
2.6		2014-06-30T08:54:58Z	
2.7		2014-09-29T09:27:08Z	
2.8		2014-12-30T10:20:02Z	
2.9		2015-03-30T08:46:19Z	
3.0		2015-06-29T09:05:52Z	
3.1		2015-09-28T09:28:15Z	
3.2		2015-12-29T09:58:04Z	
3.3		2016-03-28T08:46:24Z	
3.4		2016-06-27T08:37:56Z	
3.5		2016-09-30T08:52:48Z	
3.6		2016-12-28T14:04:36Z	
3.7		2017-03-27T09:55:50Z	
3.8		2017-06-27T09:39:50Z	
3.9		2017-09-26T09:30:31Z	
4.0		2017-12-29T09:39:05Z	
4.1		2018-03-27T10:16:20Z	
4.2		2018-06-26T11:35:03Z	
4.3		2018-09-26T11:46:39Z	
4.4		2018-12-27T12:47:07Z	
4.5		2019-03-26T10:59:07Z	
4.6		2019-06-26T06:53:40Z	
4.7		2019-09-28T11:59:25Z	
4.8		2019-12-27T12:53:49Z	
4.9		2020-03-24T12:43:47Z	
5.0		2020-06-26T21:12:29Z	
5.1		2020-09-25T12:08:56Z	
5.2		2020-12-29T15:25:21Z	
5.3		2021-03-29T10:13:55Z	
5.4		2021-06-25T11:51:13Z	
5.5		2021-10-02T10:36:21Z	
5.6		2021-12-29T13:33:26Z	
5.7		2022-03-30T08:01:05Z	
5.8		2022-07-02T14:02:58Z	
5.9		2022-09-28T13:57:57Z	
6.0		2022-12-29T11:25:00Z	
6.1		2023-03-28T11:37:32Z	
6.3		2023-10-06T20:15:45Z	
6.4		2024-03-28T11:39:33Z	
6.5		2024-09-27T13:12:35Z	
6.6		2025-03-28T14:17:08Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
