$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-sl/$%7Brevision%7D/language-sl-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:17:33Z	
2.2		2013-06-30T14:27:50Z	
2.3.1		2013-10-03T18:17:08Z	
2.4		2013-12-30T10:50:49Z	
2.5		2014-03-31T09:14:15Z	
2.6		2014-06-30T08:57:17Z	
2.7		2014-09-29T09:29:30Z	
2.8		2014-12-30T10:22:17Z	
2.9		2015-03-30T08:47:17Z	
3.0		2015-06-29T09:06:40Z	
3.1		2015-09-28T09:29:05Z	
3.2		2015-12-29T09:58:56Z	
3.3		2016-03-28T08:47:25Z	
3.4		2016-06-27T08:38:47Z	
3.5		2016-09-30T08:53:36Z	
3.6		2016-12-28T14:07:26Z	
3.7		2017-03-27T09:57:46Z	
3.8		2017-06-27T09:43:13Z	
3.9		2017-09-26T09:31:46Z	
4.0		2017-12-29T09:40:02Z	
4.1		2018-03-27T10:18:37Z	
4.2		2018-06-26T11:35:50Z	
4.3		2018-09-26T11:48:01Z	
4.4		2018-12-27T12:48:54Z	
4.5		2019-03-26T11:06:36Z	
4.6		2019-06-26T06:56:23Z	
4.7		2019-09-28T12:04:53Z	
4.8		2019-12-27T12:54:34Z	
4.9		2020-03-24T12:46:18Z	
5.0		2020-06-26T21:13:34Z	
5.1		2020-09-25T12:09:53Z	
5.2		2020-12-29T15:27:34Z	
5.3		2021-03-29T10:15:14Z	
5.4		2021-06-25T11:52:33Z	
5.5		2021-10-02T10:37:23Z	
5.6		2021-12-29T13:34:38Z	
5.7		2022-03-30T08:02:18Z	
5.8		2022-07-02T14:04:08Z	
5.9		2022-09-28T13:59:05Z	
6.0		2022-12-29T11:26:10Z	
6.1		2023-03-28T11:38:38Z	
6.3		2023-10-06T20:16:42Z	
6.4		2024-03-28T11:40:30Z	
6.5		2024-09-27T13:13:56Z	
6.6		2025-03-28T14:17:41Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
