$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-uk/$%7Brevision%7D/language-uk-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:19:40Z	
2.2		2013-06-30T14:31:07Z	
2.3.1		2013-10-03T18:21:05Z	
2.4		2013-12-30T10:54:39Z	
2.5		2014-03-31T09:18:25Z	
2.6		2014-06-30T09:02:18Z	
2.7		2014-09-29T09:33:33Z	
2.8		2014-12-30T10:26:48Z	
2.9		2015-03-30T08:49:27Z	
3.0		2015-06-29T09:08:14Z	
3.1		2015-09-28T09:30:52Z	
3.2		2015-12-29T10:00:35Z	
3.3		2016-03-28T08:48:58Z	
3.4		2016-06-27T08:40:21Z	
3.5		2016-09-30T08:55:19Z	
3.6		2016-12-28T14:11:01Z	
3.7		2017-03-27T10:04:17Z	
3.8		2017-06-27T09:54:12Z	
3.9		2017-09-26T09:34:06Z	
4.0		2017-12-29T09:41:34Z	
4.1		2018-03-27T10:20:25Z	
4.2		2018-06-26T11:37:25Z	
4.3		2018-09-26T11:49:46Z	
4.4		2018-12-27T12:52:38Z	
4.5		2019-03-26T11:21:55Z	
4.6		2019-06-26T06:58:10Z	
4.7		2019-09-28T12:15:36Z	
4.8		2019-12-27T12:56:50Z	
4.9		2020-03-24T12:49:12Z	
5.0		2020-06-26T21:16:25Z	
5.1		2020-09-25T12:11:52Z	
5.2		2020-12-29T15:33:02Z	
5.3		2021-03-29T10:17:30Z	
5.4		2021-06-25T11:55:17Z	
5.5		2021-10-02T10:39:22Z	
5.6		2021-12-29T13:37:30Z	
5.7		2022-03-30T08:04:35Z	
5.8		2022-07-02T14:06:28Z	
5.9		2022-09-28T14:00:58Z	
6.0		2022-12-29T11:28:24Z	
6.1		2023-03-28T11:40:45Z	
6.3		2023-10-06T20:18:33Z	
6.4		2024-03-28T11:42:31Z	
6.5		2024-09-27T13:16:26Z	
6.6		2025-03-28T14:18:58Z	
6.7		2025-10-09T16:41:13Z	
6.8		2026-05-05T14:57:44Z	
