$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-sk/$%7Brevision%7D/language-sk-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:17:01Z	
2.2		2013-06-30T14:27:02Z	
2.3.1		2013-10-03T18:16:15Z	
2.4		2013-12-30T10:49:55Z	
2.5		2014-03-31T09:13:17Z	
2.6		2014-06-30T08:56:12Z	
2.7		2014-09-29T09:28:13Z	
2.8		2014-12-30T10:21:12Z	
2.9		2015-03-30T08:46:48Z	
3.0		2015-06-29T09:06:19Z	
3.1		2015-09-28T09:28:42Z	
3.2		2015-12-29T09:58:30Z	
3.3		2016-03-28T08:47:04Z	
3.4		2016-06-27T08:38:24Z	
3.5		2016-09-30T08:53:16Z	
3.6		2016-12-28T14:06:45Z	
3.7		2017-03-27T09:56:38Z	
3.8		2017-06-27T09:41:18Z	
3.9		2017-09-26T09:31:25Z	
4.0		2017-12-29T09:39:36Z	
4.1		2018-03-27T10:18:03Z	
4.2		2018-06-26T11:35:27Z	
4.3		2018-09-26T11:47:30Z	
4.4		2018-12-27T12:48:21Z	
4.5		2019-03-26T10:59:50Z	
4.6		2019-06-26T06:55:53Z	
4.7		2019-09-28T12:00:06Z	
4.8		2019-12-27T12:54:12Z	
4.9		2020-03-24T12:44:39Z	
5.0		2020-06-26T21:13:01Z	
5.1		2020-09-25T12:09:25Z	
5.2		2020-12-29T15:26:11Z	
5.3		2021-03-29T10:14:34Z	
5.4		2021-06-25T11:51:59Z	
5.5		2021-10-02T10:36:52Z	
5.6		2021-12-29T13:34:03Z	
5.7		2022-03-30T08:01:41Z	
5.8		2022-07-02T14:03:33Z	
5.9		2022-09-28T13:58:36Z	
6.0		2022-12-29T11:25:36Z	
6.1		2023-03-28T11:38:07Z	
6.3		2023-10-06T20:16:13Z	
6.4		2024-03-28T11:40:00Z	
6.5		2024-09-27T13:13:10Z	
6.6		2025-03-28T14:17:25Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:44Z	
