org.openjfx	allowed
com.sta-soft	rejected
io.github.martinheywang	rejected
org.glavo.hmcl.openjfx	rejected
org.jetbrains.lets-plot	rejected
org.jfxcore	rejected
pro.verron.office-stamper	rejected
