15-ea+1	named	org.jfxcore	javafx-controls	2020-12-04T16:34:50Z	
2.2.0-rc1	named	org.jetbrains.lets-plot	lets-plot-common	2021-10-22T18:00:25Z	
2.2.0-rc1	named	org.jetbrains.lets-plot	lets-plot-jfx	2021-10-22T18:01:13Z	
2.2.0-rc1	named	org.jetbrains.lets-plot	lets-plot-batik	2021-10-22T18:02:41Z	
2.2.0-rc1	named	org.jetbrains.lets-plot	lets-plot-gis	2021-10-22T18:04:11Z	
2.2.0-rc2	named	org.jetbrains.lets-plot	lets-plot-common	2021-10-26T18:04:17Z	
2.2.0-rc2	named	org.jetbrains.lets-plot	lets-plot-jfx	2021-10-26T18:05:45Z	
2.2.0-rc2	named	org.jetbrains.lets-plot	lets-plot-batik	2021-10-26T18:06:59Z	
2.2.0-rc2	named	org.jetbrains.lets-plot	lets-plot-gis	2021-10-26T18:10:36Z	
1.1	named	com.sta-soft	mjavafx	2025-09-10T16:09:43Z	21
