1.14	named	io.github.jbock-java	javapoet	2021-10-29T14:44:30Z	
1.13.0	automatic	com.squareup	javapoet	2020-06-18T15:44:23Z	
1.12.0	automatic	com.squareup	javapoet	2020-01-09T16:28:48Z	
1.11.1	automatic	com.squareup	javapoet	2018-05-16T15:22:22Z	
1.11.0	automatic	com.squareup	javapoet	2018-04-29T21:11:29Z	
1.10.0	automatic	com.squareup	javapoet	2018-01-27T04:33:16Z	
1.12.1	automatic	com.squareup	javapoet	2020-01-20T14:54:41Z	
