0.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.5/mvn-defaults-0.1.5.jar returned status 404
0.1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.6/mvn-defaults-0.1.6.jar returned status 404
0.1.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.7/mvn-defaults-0.1.7.jar returned status 404
0.1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.8/mvn-defaults-0.1.8.jar returned status 404
0.1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.9/mvn-defaults-0.1.9.jar returned status 404
3.12.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.1/mvn-defaults-3.12.1.jar returned status 404
3.12.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.100/mvn-defaults-3.12.100.jar returned status 404
3.12.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.101/mvn-defaults-3.12.101.jar returned status 404
3.12.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.102/mvn-defaults-3.12.102.jar returned status 404
3.12.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.103/mvn-defaults-3.12.103.jar returned status 404
3.12.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.104/mvn-defaults-3.12.104.jar returned status 404
3.12.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.106/mvn-defaults-3.12.106.jar returned status 404
3.12.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.109/mvn-defaults-3.12.109.jar returned status 404
3.12.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.110/mvn-defaults-3.12.110.jar returned status 404
3.12.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.111/mvn-defaults-3.12.111.jar returned status 404
3.12.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.113/mvn-defaults-3.12.113.jar returned status 404
3.12.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.114/mvn-defaults-3.12.114.jar returned status 404
3.12.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.115/mvn-defaults-3.12.115.jar returned status 404
3.12.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.116/mvn-defaults-3.12.116.jar returned status 404
3.12.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.117/mvn-defaults-3.12.117.jar returned status 404
3.12.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.119/mvn-defaults-3.12.119.jar returned status 404
3.12.120			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.120/mvn-defaults-3.12.120.jar returned status 404
3.12.121			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.121/mvn-defaults-3.12.121.jar returned status 404
3.12.122			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.122/mvn-defaults-3.12.122.jar returned status 404
3.12.123			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.123/mvn-defaults-3.12.123.jar returned status 404
3.12.124			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.124/mvn-defaults-3.12.124.jar returned status 404
3.12.125			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.125/mvn-defaults-3.12.125.jar returned status 404
3.12.126			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.126/mvn-defaults-3.12.126.jar returned status 404
3.12.127			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.127/mvn-defaults-3.12.127.jar returned status 404
3.12.128			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.128/mvn-defaults-3.12.128.jar returned status 404
3.12.129			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.129/mvn-defaults-3.12.129.jar returned status 404
3.12.130			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.130/mvn-defaults-3.12.130.jar returned status 404
3.12.131			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.131/mvn-defaults-3.12.131.jar returned status 404
