2.0.13-dev07			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.13-dev07/bluepay-sdk-2.0.13-dev07.jar returned status 404
2.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.14/bluepay-sdk-2.0.14.jar returned status 404
2.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.15/bluepay-sdk-2.0.15.jar returned status 404
2.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.16/bluepay-sdk-2.0.16.jar returned status 404
2.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.17/bluepay-sdk-2.0.17.jar returned status 404
2.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.18/bluepay-sdk-2.0.18.jar returned status 404
2.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.19/bluepay-sdk-2.0.19.jar returned status 404
2.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.20/bluepay-sdk-2.0.20.jar returned status 404
2.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.21/bluepay-sdk-2.0.21.jar returned status 404
2.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/bluepaybr/bluepay-sdk/2.0.23/bluepay-sdk-2.0.23.jar returned status 404
