1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/levigo/barcode/jadice-barcode/1.0.0/jadice-barcode-1.0.0.jar returned status 404
1.1.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/levigo/barcode/jadice-barcode/1.1.27/jadice-barcode-1.1.27.jar returned status 404
1.1.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/levigo/barcode/jadice-barcode/1.1.30/jadice-barcode-1.1.30.jar returned status 404
1.1.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/levigo/barcode/jadice-barcode/1.1.31/jadice-barcode-1.1.31.jar returned status 404
1.1.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/levigo/barcode/jadice-barcode/1.1.32/jadice-barcode-1.1.32.jar returned status 404
