2.1.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/2.1.2/java11-oss-2.1.2.jar returned status 404
2.1.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/2.1.3/java11-oss-2.1.3.jar returned status 404
2.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/2.2/java11-oss-2.2.jar returned status 404
2.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/2.3/java11-oss-2.3.jar returned status 404
3.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.1/java11-oss-3.1.jar returned status 404
3.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.10/java11-oss-3.10.jar returned status 404
3.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.11/java11-oss-3.11.jar returned status 404
3.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.12/java11-oss-3.12.jar returned status 404
3.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.2/java11-oss-3.2.jar returned status 404
3.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.3/java11-oss-3.3.jar returned status 404
3.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.4/java11-oss-3.4.jar returned status 404
3.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.5/java11-oss-3.5.jar returned status 404
3.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.6/java11-oss-3.6.jar returned status 404
3.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.7/java11-oss-3.7.jar returned status 404
3.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.8/java11-oss-3.8.jar returned status 404
3.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/3.9/java11-oss-3.9.jar returned status 404
4.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/4.0/java11-oss-4.0.jar returned status 404
4.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/4.1/java11-oss-4.1.jar returned status 404
4.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/4.2/java11-oss-4.2.jar returned status 404
4.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/4.3/java11-oss-4.3.jar returned status 404
4.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/4.4/java11-oss-4.4.jar returned status 404
4.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/4.5/java11-oss-4.5.jar returned status 404
5.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/5.0/java11-oss-5.0.jar returned status 404
5.0-RC1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/5.0-RC1/java11-oss-5.0-RC1.jar returned status 404
5.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/5.1/java11-oss-5.1.jar returned status 404
5.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/avaje/java11-oss/5.2/java11-oss-5.2.jar returned status 404
