$%7BDERIVED_VERSION%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/willhains/purity/$%7BDERIVED_VERSION%7D/purity-$%7BDERIVED_VERSION%7D.jar returned status 404
0.14		2020-05-22T22:47:27Z	
0.15		2020-05-24T21:05:11Z	
0.16		2020-05-25T15:39:41Z	
0.17		2020-06-01T12:44:58Z	
0.18		2021-03-21T00:35:57Z	
0.23		2022-01-03T07:16:48Z	
0.24		2022-01-03T07:57:48Z	
0.25		2022-01-03T08:14:51Z	
0.28		2022-01-03T08:50:59Z	
0.99		2022-01-18T14:16:27Z	
