0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/theme-core/0.0.1/theme-core-0.0.1.jar returned status 404
0.0.2		2020-11-26T21:01:43Z	
0.0.3		2020-11-26T22:28:33Z	
0.0.4		2020-11-27T09:04:08Z	
0.0.50		2021-01-25T06:27:59Z	
0.0.60		2021-03-24T03:24:45Z	
0.0.70		2021-05-02T09:11:50Z	
0.0.80		2021-11-01T09:23:32Z	
0.1.20		2021-09-04T12:51:17Z	
0.1.22		2021-11-25T11:18:50Z	
0.2.0		2021-11-26T17:33:38Z	
0.2.10		2022-01-09T01:40:37Z	
0.2.20		2022-01-18T10:59:40Z	
0.2.21		2022-01-22T12:39:33Z	
0.2.22		2022-01-27T09:20:15Z	
0.2.23		2022-01-28T15:30:22Z	
0.2.25		2022-02-10T07:36:58Z	
0.2.26		2022-02-10T14:47:25Z	
0.2.27		2022-02-16T14:38:52Z	
0.2.28		2022-02-16T23:04:13Z	
0.2.29		2022-02-18T11:57:25Z	
0.2.30		2022-03-17T17:52:27Z	
0.2.41		2022-04-06T09:20:38Z	
0.2.42		2022-06-23T02:27:38Z	
0.2.43		2022-07-04T20:48:10Z	
