0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/color-core/0.0.1/color-core-0.0.1.jar returned status 404
0.0.20		2021-01-25T05:21:09Z	
0.0.30		2021-03-24T02:13:26Z	
0.0.40		2021-05-02T02:32:48Z	
0.0.50		2021-09-03T19:05:08Z	
0.0.80		2021-11-01T09:21:57Z	
0.2.0		2021-11-26T17:23:43Z	
0.2.10		2022-01-09T01:31:14Z	
0.2.20		2022-01-18T10:49:42Z	
0.2.21		2022-01-22T12:27:57Z	
0.2.22		2022-01-27T09:16:37Z	
0.2.23		2022-01-28T15:18:58Z	
0.2.25		2022-02-10T07:26:36Z	
0.2.26		2022-02-10T14:42:40Z	
0.2.27		2022-02-16T14:33:25Z	
0.2.28		2022-02-16T22:53:51Z	
0.2.29		2022-02-18T11:55:00Z	
0.2.30		2022-03-17T17:49:25Z	
0.2.41		2022-04-06T09:17:36Z	
0.2.42		2022-06-23T02:26:20Z	
0.2.43		2022-07-04T20:46:58Z	
