0.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.0/identifier-generators-linuxx64-0.2.0.jar returned status 404
0.2.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.10/identifier-generators-linuxx64-0.2.10.jar returned status 404
0.2.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.20/identifier-generators-linuxx64-0.2.20.jar returned status 404
0.2.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.21/identifier-generators-linuxx64-0.2.21.jar returned status 404
0.2.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.22/identifier-generators-linuxx64-0.2.22.jar returned status 404
0.2.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.23/identifier-generators-linuxx64-0.2.23.jar returned status 404
0.2.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.25/identifier-generators-linuxx64-0.2.25.jar returned status 404
0.2.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.26/identifier-generators-linuxx64-0.2.26.jar returned status 404
0.2.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.27/identifier-generators-linuxx64-0.2.27.jar returned status 404
0.2.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.28/identifier-generators-linuxx64-0.2.28.jar returned status 404
0.2.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.29/identifier-generators-linuxx64-0.2.29.jar returned status 404
0.2.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.30/identifier-generators-linuxx64-0.2.30.jar returned status 404
0.2.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.40/identifier-generators-linuxx64-0.2.40.jar returned status 404
0.2.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.41/identifier-generators-linuxx64-0.2.41.jar returned status 404
0.2.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.42/identifier-generators-linuxx64-0.2.42.jar returned status 404
0.2.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/0.2.43/identifier-generators-linuxx64-0.2.43.jar returned status 404
2.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/2.0.12/identifier-generators-linuxx64-2.0.12.jar returned status 404
2.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/2.0.13/identifier-generators-linuxx64-2.0.13.jar returned status 404
2.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/identifier-generators-linuxx64/2.0.14/identifier-generators-linuxx64-2.0.14.jar returned status 404
