0.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.0/payments-requests-core-js-0.2.0.jar returned status 404
0.2.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.10/payments-requests-core-js-0.2.10.jar returned status 404
0.2.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.20/payments-requests-core-js-0.2.20.jar returned status 404
0.2.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.21/payments-requests-core-js-0.2.21.jar returned status 404
0.2.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.22/payments-requests-core-js-0.2.22.jar returned status 404
0.2.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.23/payments-requests-core-js-0.2.23.jar returned status 404
0.2.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.25/payments-requests-core-js-0.2.25.jar returned status 404
0.2.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.26/payments-requests-core-js-0.2.26.jar returned status 404
0.2.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.27/payments-requests-core-js-0.2.27.jar returned status 404
0.2.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.28/payments-requests-core-js-0.2.28.jar returned status 404
0.2.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.29/payments-requests-core-js-0.2.29.jar returned status 404
0.2.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.30/payments-requests-core-js-0.2.30.jar returned status 404
0.2.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.40/payments-requests-core-js-0.2.40.jar returned status 404
0.2.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.41/payments-requests-core-js-0.2.41.jar returned status 404
0.2.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.42/payments-requests-core-js-0.2.42.jar returned status 404
0.2.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/tz/co/asoft/payments-requests-core-js/0.2.43/payments-requests-core-js-0.2.43.jar returned status 404
