1.1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.1.4/smh-android-nobeacon-1.1.4.jar returned status 404
1.1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.1.6/smh-android-nobeacon-1.1.6.jar returned status 404
1.1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.1.8/smh-android-nobeacon-1.1.8.jar returned status 404
1.2.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.23/smh-android-nobeacon-1.2.23.jar returned status 404
1.2.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.24/smh-android-nobeacon-1.2.24.jar returned status 404
1.2.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.25/smh-android-nobeacon-1.2.25.jar returned status 404
1.2.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.26/smh-android-nobeacon-1.2.26.jar returned status 404
1.2.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.27/smh-android-nobeacon-1.2.27.jar returned status 404
1.2.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.28/smh-android-nobeacon-1.2.28.jar returned status 404
1.2.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.29/smh-android-nobeacon-1.2.29.jar returned status 404
1.2.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.30/smh-android-nobeacon-1.2.30.jar returned status 404
1.2.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.31/smh-android-nobeacon-1.2.31.jar returned status 404
1.2.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.32/smh-android-nobeacon-1.2.32.jar returned status 404
1.2.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.33/smh-android-nobeacon-1.2.33.jar returned status 404
1.2.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.34/smh-android-nobeacon-1.2.34.jar returned status 404
1.2.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.35/smh-android-nobeacon-1.2.35.jar returned status 404
1.2.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.36/smh-android-nobeacon-1.2.36.jar returned status 404
1.2.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.37/smh-android-nobeacon-1.2.37.jar returned status 404
1.2.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.38/smh-android-nobeacon-1.2.38.jar returned status 404
1.2.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.39/smh-android-nobeacon-1.2.39.jar returned status 404
1.2.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qcloud/cos/smh-android-nobeacon/1.2.40/smh-android-nobeacon-1.2.40.jar returned status 404
