1.0.11		2011-07-30T12:09:59Z	
1.0.11	native	2011-07-30T12:10:32Z	
1.1.0		2012-03-31T23:46:06Z	
1.1.0	native	2012-03-31T23:47:07Z	
1.2.0		2012-04-12T11:49:19Z	
1.2.0	native	2012-04-12T11:50:04Z	
1.2.1		2012-04-12T12:52:06Z	
1.2.1	native	2012-04-12T12:53:15Z	
1.2.10		2015-11-06T19:18:07Z	
1.2.10	native	2015-11-06T19:18:11Z	
1.2.11		2016-03-08T19:02:01Z	
1.2.11	native	2016-03-08T19:02:04Z	
1.2.12		2016-04-29T21:24:32Z	
1.2.12	native	2016-04-29T21:24:34Z	
1.2.13		2016-09-28T20:33:17Z	
1.2.13	native	2016-09-28T20:33:20Z	
1.2.14		2016-12-12T18:35:41Z	
1.2.14	native	2016-12-12T18:35:44Z	
1.2.15		2017-03-01T16:16:46Z	
1.2.15	native	2017-03-01T16:16:52Z	
1.2.16		2017-05-30T19:07:30Z	
1.2.16	complete	2017-05-30T19:07:47Z	
1.2.16	native	2017-05-30T19:07:48Z	
1.2.17		2018-05-16T15:10:17Z	
1.2.17	complete	2018-05-16T15:12:48Z	
1.2.17	native	2018-05-16T15:13:03Z	
1.2.18		2018-10-30T19:17:37Z	
1.2.18	complete	2018-10-30T19:17:40Z	
1.2.18	native	2018-10-30T19:17:41Z	
1.2.19		2019-06-07T18:17:47Z	
1.2.19	complete	2019-06-07T18:17:52Z	
1.2.19	native	2019-06-07T18:17:57Z	
1.2.2		2012-05-17T03:28:19Z	
1.2.2	native	2012-05-17T03:29:00Z	
1.2.20		2019-09-05T03:56:02Z	
1.2.20	complete	2019-09-05T03:57:05Z	
1.2.20	native	2019-09-05T03:57:22Z	
1.2.21		2019-10-15T12:54:11Z	
1.2.21	complete	2019-10-15T12:54:18Z	
1.2.21	native	2019-10-15T12:54:19Z	
1.2.22		2019-10-28T13:00:30Z	
1.2.22	complete	2019-10-28T13:00:39Z	
1.2.22	native	2019-10-28T13:00:40Z	
1.2.23		2020-02-12T15:32:36Z	
1.2.23	complete	2020-02-12T15:32:40Z	
1.2.23	native	2020-02-12T15:32:40Z	
1.2.3		2012-08-02T21:17:52Z	
1.2.3	native	2012-08-02T21:20:09Z	
1.2.4		2012-08-03T09:08:26Z	
1.2.4	native	2012-08-03T09:10:40Z	
1.2.5		2012-09-13T22:14:17Z	
1.2.5	native	2012-09-13T22:15:17Z	
1.2.6		2012-10-07T10:48:33Z	
1.2.6	native	2012-10-07T10:49:20Z	
1.2.7		2013-04-04T04:02:34Z	
1.2.7	native	2013-04-04T04:03:33Z	
1.2.8		2015-03-02T21:36:11Z	
1.2.8	native	2015-03-02T21:36:13Z	
1.2.9		2015-05-04T18:39:55Z	
1.2.9	native	2015-05-04T18:39:59Z	
1.3.0		2020-09-11T22:46:32Z	
1.3.0	complete	2020-09-11T22:46:35Z	
1.3.0	native	2020-09-11T22:46:36Z	
1.3.1		2020-12-02T19:19:41Z	
1.3.1	complete	2020-12-02T19:19:44Z	
1.3.1	native	2020-12-02T19:19:45Z	
1.3.10		2022-11-10T04:12:46Z	
1.3.10	complete	2022-11-10T04:12:48Z	
1.3.10	native	2022-11-10T04:12:49Z	
1.3.11		2023-03-11T16:13:04Z	
1.3.11	complete	2023-03-11T16:13:08Z	
1.3.11	native	2023-03-11T16:13:09Z	
1.3.12		2023-09-12T07:30:11Z	
1.3.12	complete	2023-09-12T07:30:24Z	
1.3.12	native	2023-09-12T07:30:29Z	
1.3.13		2024-02-14T18:16:29Z	
1.3.13	complete	2024-02-14T18:16:31Z	
1.3.13	native	2024-02-14T18:16:32Z	
1.3.14		2025-10-24T20:12:05Z	
1.3.14	complete	2025-10-24T20:12:05Z	
1.3.14	native	2025-10-24T20:12:05Z	
1.3.15		2026-03-31T17:28:35Z	
1.3.15	complete	2026-03-31T17:28:35Z	
1.3.15	native	2026-03-31T17:28:35Z	
1.3.2		2021-03-26T22:05:43Z	
1.3.2	complete	2021-03-26T22:05:45Z	
1.3.2	native	2021-03-26T22:05:46Z	
1.3.3		2021-05-19T17:06:25Z	
1.3.3	complete	2021-05-19T17:06:37Z	
1.3.3	native	2021-05-19T17:06:37Z	
1.3.4		2021-05-20T18:17:55Z	
1.3.4	complete	2021-05-20T18:17:58Z	
1.3.4	native	2021-05-20T18:17:59Z	
1.3.5		2021-09-01T07:54:37Z	
1.3.5	complete	2021-09-01T07:54:39Z	
1.3.5	native	2021-09-01T07:54:44Z	
1.3.6		2021-10-26T20:04:17Z	
1.3.6	complete	2021-10-26T20:04:19Z	
1.3.6	native	2021-10-26T20:04:19Z	
1.3.7		2021-11-22T18:46:19Z	
1.3.7	complete	2021-11-22T18:46:21Z	
1.3.7	native	2021-11-22T18:46:22Z	
1.3.8		2021-12-01T10:45:38Z	
1.3.8	complete	2021-12-01T10:45:40Z	
1.3.8	native	2021-12-01T10:45:41Z	
1.3.9		2022-01-06T16:35:06Z	
1.3.9	complete	2022-01-06T16:35:08Z	
1.3.9	native	2022-01-06T16:35:08Z	
