ch.qos.logback	allowed
be.vlaanderen.informatievlaanderen.ldes.ldio	rejected
be.vlaanderen.informatievlaanderen.vsds	rejected
ch.exense.step	rejected
ch.zizka.junitdiff	rejected
club.dawdler	rejected
com.aerospike	rejected
com.aerospike.avs-client-java.0.3.0.com.aerospike	rejected
com.bazaarvoice.emodb	rejected
com.daml	rejected
com.deltaproto	rejected
com.extrawest	rejected
com.fenxi365	rejected
com.github.funthomas424242	rejected
com.github.gv2011.logback	rejected
com.github.peterbecker	rejected
com.io7m.calino	rejected
com.io7m.gtyrell	rejected
com.io7m.jdextrosa	rejected
com.io7m.portero	rejected
com.io7m.zeptoblog	rejected
com.lihaoyi	rejected
com.limemojito.oss.aws	rejected
com.markwolgin	rejected
com.optum.sourcehawk	rejected
com.shr25.mirai	rejected
com.taosdata.flink	rejected
com.tencent.bk.sdk	rejected
com.weedow	rejected
de.caluga	rejected
de.cyclon-softworx	rejected
de.fraunhofer.iosb.ilt	rejected
de.fraunhofer.iosb.ilt.FROST-Server	rejected
de.gematik.test	rejected
de.redsix	rejected
dev.mlnr	rejected
dk.alexandra.fresco	rejected
fr.lirmm.graphik	rejected
gent.davidsar.stubjars	rejected
gov.nasa.pds.registry-api	rejected
io.camunda	rejected
io.docops	rejected
io.flux-capacitor	rejected
io.github.astonbitecode	rejected
io.github.davidwhitlock.cs410J	rejected
io.github.eschizoid	rejected
io.github.extrawest	rejected
io.github.flaxoos	rejected
io.github.liuchengts	rejected
io.github.mathcoach	rejected
io.github.ptsdirect	rejected
io.github.stewseo	rejected
io.github.vishalmysore	rejected
io.knowledgelinks.cicd	rejected
io.mosip.biosdk	rejected
io.mosip.demosdk	rejected
io.rainfall	rejected
io.repseq	rejected
net.mamoe	rejected
net.postgis	rejected
one.lfa	rejected
org.apache.iotdb	rejected
org.apache.sling	rejected
org.apache.tika	rejected
org.apache.zookeeper	rejected
org.bidib.jbidib	rejected
org.camunda.community.migration	rejected
org.chenile	rejected
org.commonjava.atlas	rejected
org.eclipse.ecsp	rejected
org.eclipse.pass	rejected
org.eolang	rejected
org.gaul	rejected
org.icij	rejected
org.javastro.ivoa	rejected
org.jboss.gm	rejected
org.jboss.pnc.gradle-manipulator	rejected
org.jetbrains.kotlinx	rejected
org.mongounit	rejected
org.opendaylight.bgpcep	rejected
org.opendaylight.netconf	rejected
org.opendaylight.yangtools	rejected
org.orbisgis.geoclimate	rejected
org.pgpainless	rejected
org.talend.sdk.component.sample.feature	rejected
pl.tkowalcz.tjahzi	rejected
se.ikama	rejected
site.edody.dframe	rejected
tech.figure.aggregate	rejected
top.tanmw	rejected
top.yqingyu	rejected
website.magyar	rejected
za.co.bbd	rejected
