v1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/vova7878/SunCleanerStub/v1.0.0/SunCleanerStub-v1.0.0.jar returned status 404
v1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/vova7878/SunCleanerStub/v1.0.1/SunCleanerStub-v1.0.1.jar returned status 404
v1.0.1	debug-sources	2026-03-01T12:09:19Z	
v1.0.1	release-sources	2026-03-01T12:09:19Z	
