0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/0.0.1/guardian-0.0.1.jar returned status 404
2025.02.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.02.20/guardian-2025.02.20.jar returned status 404
2025.03.05			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.03.05/guardian-2025.03.05.jar returned status 404
2025.03.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.03.12/guardian-2025.03.12.jar returned status 404
2025.03.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.03.20/guardian-2025.03.20.jar returned status 404
2025.04.03			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.04.03/guardian-2025.04.03.jar returned status 404
2025.04.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.04.16/guardian-2025.04.16.jar returned status 404
2025.05.30-alpha01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.05.30-alpha01/guardian-2025.05.30-alpha01.jar returned status 404
2025.06.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.06.16/guardian-2025.06.16.jar returned status 404
2025.06.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.06.18/guardian-2025.06.18.jar returned status 404
2025.07.08			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.07.08/guardian-2025.07.08.jar returned status 404
2025.07.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.07.10/guardian-2025.07.10.jar returned status 404
2025.07.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.07.11/guardian-2025.07.11.jar returned status 404
2025.07.11.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.07.11.1/guardian-2025.07.11.1.jar returned status 404
2025.07.12.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.07.12.1/guardian-2025.07.12.1.jar returned status 404
2025.08.06			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.08.06/guardian-2025.08.06.jar returned status 404
2025.08.06.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.08.06.1/guardian-2025.08.06.1.jar returned status 404
2025.08.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.08.11/guardian-2025.08.11.jar returned status 404
2025.08.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.08.14/guardian-2025.08.14.jar returned status 404
2025.08.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.08.18/guardian-2025.08.18.jar returned status 404
2025.08.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.08.21/guardian-2025.08.21.jar returned status 404
2025.10.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.10.27/guardian-2025.10.27.jar returned status 404
2025.10.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/instavision/guardian/2025.10.29/guardian-2025.10.29.jar returned status 404
