com.headius	allowed
ch.ifocusit.livingdoc	rejected
com.lealceldeiro	rejected
de.jcup.asp	rejected
org.asciidoctor	rejected
org.sahli.asciidoc.confluence.publisher	rejected
org.springframework.cloud	rejected
