1.4.0	named	javax.xml.soap	javax.xml.soap-api	2017-06-13T14:36:33Z	
1.4.1	named	jakarta.xml.soap	jakarta.xml.soap-api	2018-12-27T15:42:32Z	
1.0.0.Final	automatic	org.jboss.spec.javax.xml.soap	jboss-saaj-api_1.4_spec	2019-09-11T11:57:59Z	
1.0.1.Final	automatic	org.jboss.spec.javax.xml.soap	jboss-saaj-api_1.4_spec	2019-10-25T10:54:30Z	
1.4_1	named	org.apache.servicemix.specs	org.apache.servicemix.specs.saaj-api-1.4	2019-12-24T06:39:14Z	
1.0.2.Final	automatic	org.jboss.spec.javax.xml.soap	jboss-saaj-api_1.4_spec	2020-01-16T16:33:06Z	
1.4.2	named	jakarta.xml.soap	jakarta.xml.soap-api	2020-01-27T09:30:23Z	1.4.2
1.4_2	named	org.apache.servicemix.specs	org.apache.servicemix.specs.saaj-api-1.4	2020-03-23T14:54:06Z	
