com.github.ben-manes.caffeine	allowed
io.pebbletemplates	allowed
be.vlaanderen.informatievlaanderen.ldes.ldio	blocked
com.gitlab.cdc-java.office	blocked
com.google.errorprone	blocked
com.janeluo	blocked
io.github.c-fraser	blocked
io.github.noobdogcloud	blocked
io.github.sinri	blocked
io.tileverse.pmtiles	blocked
io.zeebe.redis	blocked
net.wirelabs	blocked
nl.basjes.parse.useragent	blocked
nl.goodbytes.xmpp.xep	blocked
org.apache.tinkerpop	blocked
org.atlanmod.commons	blocked
org.igniterealtime.whack	blocked
org.odftoolkit	blocked
org.opengis.cite	blocked
org.openprovenance.prov	blocked
