0.9.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.6/optimiser-linuxarm64-0.9.6.jar returned status 404
0.9.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.61/optimiser-linuxarm64-0.9.61.jar returned status 404
0.9.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.62/optimiser-linuxarm64-0.9.62.jar returned status 404
0.9.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.63/optimiser-linuxarm64-0.9.63.jar returned status 404
0.9.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.64/optimiser-linuxarm64-0.9.64.jar returned status 404
0.9.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.65/optimiser-linuxarm64-0.9.65.jar returned status 404
0.9.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.66/optimiser-linuxarm64-0.9.66.jar returned status 404
0.9.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.70/optimiser-linuxarm64-0.9.70.jar returned status 404
0.9.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.71/optimiser-linuxarm64-0.9.71.jar returned status 404
0.9.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.80/optimiser-linuxarm64-0.9.80.jar returned status 404
0.9.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/0.9.81/optimiser-linuxarm64-0.9.81.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/1.0.0/optimiser-linuxarm64-1.0.0.jar returned status 404
1.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/charlietap/chasm/optimiser-linuxarm64/1.1.0/optimiser-linuxarm64-1.1.0.jar returned status 404
