com.fasterxml.jackson.jaxrs	allowed
ai.askamerica	rejected
app.cash.backfila	rejected
cc.protea.platform	rejected
cc.unitmesh	rejected
com.alibaba.ververica	rejected
com.ascentstream.pulsar	rejected
com.baidu.dev2	rejected
com.docusign	rejected
com.github.openstack4j.core	rejected
com.guicedee.services	rejected
com.lancedb	rejected
com.netflix.conductor	rejected
com.okta.authn.sdk	rejected
com.oneandone	rejected
com.smoketurner.dropwizard	rejected
com.telenav.kivakit	rejected
com.ververica	rejected
com.vonage	rejected
com.xenoamess.docker	rejected
de.julielab	rejected
dev.henneberger	rejected
io.github.asseco-pst	rejected
io.github.giis-uniovi	rejected
io.github.marquezproject	rejected
io.github.nur858	rejected
io.kestra	rejected
io.kestra.plugin	rejected
io.liftwizard	rejected
io.nflow	rejected
io.openlineage	rejected
io.stargate.graphql	rejected
io.stargate.web	rejected
io.streamnative	rejected
it.vige.cities	rejected
net.corda	rejected
org.apache.avro	rejected
org.apache.beam	rejected
org.apache.drill.exec	rejected
org.apache.flink	rejected
org.apache.hbase.thirdparty	rejected
org.apache.hudi	rejected
org.apache.phoenix	rejected
org.apache.pinot	rejected
org.apache.pulsar	rejected
org.apache.seatunnel	rejected
org.apache.storm	rejected
org.apache.tika	rejected
org.devlive.connector	rejected
org.jboss.pnc	rejected
org.jboss.pnc.cleaner	rejected
org.jboss.pnc.kafkastore	rejected
org.kie.kogito	rejected
org.lance	rejected
org.onebusaway	rejected
org.projectnessie	rejected
se.bjurr.violations	rejected
tech.leovan.hive	rejected
tech.triviumcapital.clients	rejected
