0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/0.0.1/mcsdk-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/0.0.2/mcsdk-0.0.2.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/0.0.3/mcsdk-0.0.3.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/1.0.0/mcsdk-1.0.0.jar returned status 404
3.1.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.1.10/mcsdk-3.1.10.jar returned status 404
3.1.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.1.13/mcsdk-3.1.13.jar returned status 404
3.2.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.2.10/mcsdk-3.2.10.jar returned status 404
3.2.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.2.11/mcsdk-3.2.11.jar returned status 404
3.2.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.2.21/mcsdk-3.2.21.jar returned status 404
3.3.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.3.20/mcsdk-3.3.20.jar returned status 404
3.3.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.3.23/mcsdk-3.3.23.jar returned status 404
3.3.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.3.25/mcsdk-3.3.25.jar returned status 404
3.4.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.4.10/mcsdk-3.4.10.jar returned status 404
3.4.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.4.11/mcsdk-3.4.11.jar returned status 404
3.4.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.4.12/mcsdk-3.4.12.jar returned status 404
3.5.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.5.10/mcsdk-3.5.10.jar returned status 404
3.6.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.6.10/mcsdk-3.6.10.jar returned status 404
3.6.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.6.11/mcsdk-3.6.11.jar returned status 404
3.6.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.6.12/mcsdk-3.6.12.jar returned status 404
3.6.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.6.16/mcsdk-3.6.16.jar returned status 404
3.6.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.6.17/mcsdk-3.6.17.jar returned status 404
3.7.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.7.10/mcsdk-3.7.10.jar returned status 404
3.7.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.7.11/mcsdk-3.7.11.jar returned status 404
3.8.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.8.10/mcsdk-3.8.10.jar returned status 404
3.8.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.8.11/mcsdk-3.8.11.jar returned status 404
3.9.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/3.9.10/mcsdk-3.9.10.jar returned status 404
4.1.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.1.10/mcsdk-4.1.10.jar returned status 404
4.1.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.1.11/mcsdk-4.1.11.jar returned status 404
4.1.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.1.12/mcsdk-4.1.12.jar returned status 404
4.1.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.1.13/mcsdk-4.1.13.jar returned status 404
4.1.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.1.14/mcsdk-4.1.14.jar returned status 404
4.2.10		2026-07-01T08:35:50Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.2.10/mcsdk-4.2.10.jar returned status 404
4.2.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.2.11/mcsdk-4.2.11.jar returned status 404
4.2.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/hyperbid/tools/mcsdk/4.2.12/mcsdk-4.2.12.jar returned status 404
