3.4	named	pro.verron.asciidoc	asciidoc-converter
3.3	named	pro.verron.office-stamper	asciidoc
3.2	named	pro.verron.office-stamper	asciidoc
3.1	named	pro.verron.office-stamper	asciidoc
3.0	named	pro.verron.office-stamper	asciidoc
