3.4	pro.verron.asciidoc	asciidoc-converter	3.4
3.3	pro.verron.office-stamper	asciidoc	3.3
3.2	pro.verron.office-stamper	asciidoc	3.2
3.1	pro.verron.office-stamper	asciidoc	3.1
3.0	pro.verron.office-stamper	asciidoc	3.0
