1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/marvel/util/1.0.0/util-1.0.0.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/marvel/util/1.0.14/util-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/marvel/util/1.0.15/util-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/marvel/util/1.0.16/util-1.0.16.jar returned status 404
