1.10.0	automatic	org.osgi	org.osgi.framework	2020-12-07T21:44:38Z	
4.4.8	automatic	org.apache.karaf	org.apache.karaf.main	2025-08-03T06:15:00Z	
4.4.9	automatic	org.apache.karaf	org.apache.karaf.main	2025-12-12T09:38:46Z	
4.4.10	automatic	org.apache.karaf	org.apache.karaf.main	2026-02-10T13:53:37Z	
4.4.11	automatic	org.apache.karaf	org.apache.karaf.main	2026-04-27T13:44:00Z	
