0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/0.0.1/groobee-sdk-message-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/0.0.2/groobee-sdk-message-0.0.2.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/0.0.3/groobee-sdk-message-0.0.3.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/0.0.4/groobee-sdk-message-0.0.4.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.0/groobee-sdk-message-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.1/groobee-sdk-message-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.10/groobee-sdk-message-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.11/groobee-sdk-message-1.0.11.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.13/groobee-sdk-message-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.14/groobee-sdk-message-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.15/groobee-sdk-message-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.16/groobee-sdk-message-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.17/groobee-sdk-message-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.18/groobee-sdk-message-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.19/groobee-sdk-message-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.2/groobee-sdk-message-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.20/groobee-sdk-message-1.0.20.jar returned status 404
