org.xerial	allowed
app.cash.sqldelight	rejected
at.hugob.plugin.library	rejected
co.virtual-verse	rejected
com.clapbxt	rejected
com.codenameone	rejected
com.erudika	rejected
com.intel.analytics.bigdl	rejected
com.lovelycatv.ark	rejected
dev.aga.sqlite	rejected
gq.bxteam	rejected
io.github.frame-dev	rejected
io.github.pacocarlesimo	rejected
io.github.treebolic	rejected
io.github.willena	rejected
io.github.zhyt1985	rejected
io.telereso.kmp.sqldelight	rejected
io.toxicity.sqlite-mc	rejected
me.gulya.sqldelight	rejected
nz.co.gregs	rejected
org.apache.sedona	rejected
org.apache.tika	rejected
solutions.a2.oracle.iceberg	rejected
