1.47.0	named	com.erudika	para-dao-sql	2023-12-06T14:16:33Z	3.44.1.0
1.0.2	named	nz.co.gregs	dbvolution10	2025-04-30T06:36:10Z	3.42.0.0
1.0.3	named	nz.co.gregs	dbvolution10	2025-05-19T10:40:55Z	3.42.0.0
