8.572.77	named	com.yahoo.vespa	vespaclient-java	2025-09-01T12:04:09Z	12.0.25
8.573.19	named	com.yahoo.vespa	vespaclient-java	2025-09-02T14:11:47Z	12.0.25
8.574.10	named	com.yahoo.vespa	vespaclient-java	2025-09-03T11:01:05Z	12.0.25
8.575.21	named	com.yahoo.vespa	vespaclient-java	2025-09-04T11:48:06Z	12.0.25
8.576.45	named	com.yahoo.vespa	vespaclient-java	2025-09-08T11:22:51Z	12.0.25
8.577.16	named	com.yahoo.vespa	vespaclient-java	2025-09-09T11:03:00Z	12.0.25
8.578.22	named	com.yahoo.vespa	vespaclient-java	2025-09-10T15:24:56Z	12.0.25
8.579.17	named	com.yahoo.vespa	vespaclient-java	2025-09-11T11:26:54Z	12.0.25
8.583.10	named	com.yahoo.vespa	vespaclient-java	2025-09-19T06:21:31Z	12.0.25
8.582.13	named	com.yahoo.vespa	vespaclient-java	2025-09-19T08:39:21Z	12.0.25
8.584.45	named	com.yahoo.vespa	vespaclient-java	2025-09-24T08:43:23Z	12.0.25
8.585.41	named	com.yahoo.vespa	vespaclient-java	2025-09-29T02:06:52Z	12.0.25
8.586.25	named	com.yahoo.vespa	vespaclient-java	2025-09-29T14:34:57Z	12.0.25
8.587.11	named	com.yahoo.vespa	vespaclient-java	2025-09-30T14:42:29Z	12.0.25
8.588.8	named	com.yahoo.vespa	vespaclient-java	2025-10-01T11:48:20Z	12.0.25
8.591.16	named	com.yahoo.vespa	vespaclient-java	2025-10-13T12:15:03Z	12.0.25
8.592.33	named	com.yahoo.vespa	vespaclient-java	2025-10-13T15:03:36Z	12.0.25
8.593.34	named	com.yahoo.vespa	vespaclient-java	2025-10-14T09:16:08Z	12.0.25
8.589.18	named	com.yahoo.vespa	vespaclient-java	2025-10-14T11:07:25Z	12.0.25
8.596.20	named	com.yahoo.vespa	vespaclient-java	2025-10-20T02:05:45Z	12.0.25
8.598.44	named	com.yahoo.vespa	vespaclient-java	2025-10-24T13:36:38Z	12.0.25
8.599.6	named	com.yahoo.vespa	vespaclient-java	2025-10-27T10:10:45Z	12.0.25
8.600.35	named	com.yahoo.vespa	vespaclient-java	2025-10-28T07:27:12Z	12.0.25
8.601.1	named	com.yahoo.vespa	vespaclient-java	2025-11-03T03:06:53Z	12.0.25
8.603.19	named	com.yahoo.vespa	vespaclient-java	2025-11-05T03:10:30Z	12.0.25
8.604.22	named	com.yahoo.vespa	vespaclient-java	2025-11-06T03:06:44Z	12.0.25
