0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.1/taboo-ui-core-0.0.1.jar returned status 404
0.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.10/taboo-ui-core-0.0.10.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.11/taboo-ui-core-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.12/taboo-ui-core-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.13/taboo-ui-core-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.14/taboo-ui-core-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.15/taboo-ui-core-0.0.15.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.16/taboo-ui-core-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.17/taboo-ui-core-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.18/taboo-ui-core-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.19/taboo-ui-core-0.0.19.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.2/taboo-ui-core-0.0.2.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.20/taboo-ui-core-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.21/taboo-ui-core-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.22/taboo-ui-core-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.23/taboo-ui-core-0.0.23.jar returned status 404
