org.ow2.asm	allowed
cn.iservicego	blocked
com.apollographql.apollo	blocked
com.apollographql.apollo3	blocked
com.appdynamics	blocked
com.github.distortsm	blocked
com.github.fromage.quasi	blocked
com.github.serceman	blocked
com.github.upthewaterspout.fates	blocked
com.gradleup	blocked
com.joom.colonist	blocked
com.joom.lightsaber	blocked
com.microsoft.azure	blocked
com.netflix.nebula	blocked
com.newrelic.agent.android	blocked
com.teamscale	blocked
com.xdev-software	blocked
com.yugabyte	blocked
de.firemage.autograder	blocked
fish.payara.extras	blocked
io.debezium	blocked
io.github.lxgaming	blocked
io.janusproject	blocked
io.joern	blocked
io.joynr.tools.generator	blocked
io.michaelrocks	blocked
net.corda	blocked
net.sansa-stack	blocked
org.aksw.sparqlify	blocked
org.copper-engine	blocked
org.eclipse.vorto	blocked
org.javastro.vodsl	blocked
org.netbeans.external	blocked
org.protelis	blocked
org.realityforge.shade	blocked
org.tango-controls	blocked
org.tango-controls.pogo	blocked
org.teavm	blocked
software.amazon.disco	blocked
