1.0.0		2016-09-23T21:18:05Z	
1.0.1		2016-10-27T05:53:12Z	
1.0.10		2018-07-17T19:54:01Z	
1.0.10	sources-commercial	2018-07-17T19:54:03Z	
1.0.100		2020-08-22T05:22:18Z	
1.0.100	sources-commercial	2020-08-22T05:22:20Z	
1.0.101		2020-08-28T02:44:00Z	
1.0.101	sources-commercial	2020-08-28T02:44:03Z	
1.0.102		2020-09-01T00:39:17Z	
1.0.102	sources-commercial	2020-09-01T00:39:21Z	
1.0.103		2020-09-02T02:46:02Z	
1.0.103	sources-commercial	2020-09-02T02:46:05Z	
1.0.104		2020-09-14T03:29:36Z	
1.0.104	sources-commercial	2020-09-14T03:29:40Z	
1.0.105		2020-09-16T02:26:13Z	
1.0.105	sources-commercial	2020-09-16T02:26:15Z	
1.0.106		2020-09-24T18:34:27Z	
1.0.106	sources-commercial	2020-09-24T18:34:29Z	
1.0.107		2020-10-07T17:34:49Z	
1.0.107	sources-commercial	2020-10-07T17:34:50Z	
1.0.108		2020-10-12T06:16:34Z	
1.0.108	sources-commercial	2020-10-12T06:16:35Z	
1.0.109		2020-10-28T21:34:22Z	
1.0.109	sources-commercial	2020-10-28T21:34:23Z	
1.0.11		2018-08-08T19:48:27Z	
1.0.11	sources-commercial	2018-08-08T19:48:31Z	
1.0.110		2020-11-05T03:48:18Z	
1.0.110	sources-commercial	2020-11-05T03:48:19Z	
1.0.111		2020-11-13T04:32:35Z	
1.0.111	sources-commercial	2020-11-13T04:32:37Z	
1.0.112		2020-12-21T21:34:05Z	
1.0.112	sources-commercial	2020-12-21T21:34:07Z	
1.0.113		2021-01-07T19:33:57Z	
1.0.113	sources-commercial	2021-01-07T19:33:59Z	
1.0.114		2021-01-12T19:07:42Z	
1.0.114	sources-commercial	2021-01-12T19:07:44Z	
1.0.115		2021-01-15T18:17:07Z	
1.0.115	sources-commercial	2021-01-15T18:17:11Z	
1.0.116		2021-02-12T12:20:51Z	
1.0.116	sources-commercial	2021-02-12T12:20:53Z	
1.0.117		2021-03-01T02:11:36Z	
1.0.117	sources-commercial	2021-03-01T02:11:40Z	
1.0.118		2021-03-04T20:16:44Z	
1.0.118	sources-commercial	2021-03-04T20:16:48Z	
1.0.119		2021-03-10T14:55:04Z	
1.0.119	sources-commercial	2021-03-10T14:55:06Z	
1.0.12		2018-08-09T21:24:54Z	
1.0.12	sources-commercial	2018-08-09T21:24:58Z	
1.0.120		2021-03-29T22:28:58Z	
1.0.120	sources-commercial	2021-03-29T22:29:01Z	
1.0.121		2021-04-01T23:06:48Z	
1.0.121	sources-commercial	2021-04-01T23:06:50Z	
1.0.122		2021-04-02T17:03:47Z	
1.0.122	sources-commercial	2021-04-02T17:03:49Z	
1.0.123		2021-04-15T11:23:15Z	
1.0.123	sources-commercial	2021-04-15T11:23:17Z	
1.0.124		2021-04-20T20:59:03Z	
1.0.124	sources-commercial	2021-04-20T20:59:06Z	
1.0.125		2021-05-04T16:32:00Z	
1.0.125	sources-commercial	2021-05-04T16:32:01Z	
1.0.126		2021-05-11T02:54:41Z	
1.0.126	sources-commercial	2021-05-11T02:54:42Z	
1.0.127		2021-05-18T19:36:19Z	
1.0.127	sources-commercial	2021-05-18T19:36:20Z	
1.0.128		2021-06-02T18:51:01Z	
1.0.128	sources-commercial	2021-06-02T18:51:03Z	
1.0.129		2021-06-04T20:53:48Z	
1.0.129	sources-commercial	2021-06-04T20:53:49Z	
1.0.13		2018-08-10T18:17:41Z	
1.0.13	sources-commercial	2018-08-10T18:17:45Z	
1.0.130		2021-06-07T17:30:59Z	
1.0.130	sources-commercial	2021-06-07T17:31:01Z	
1.0.131		2021-06-11T04:20:56Z	
1.0.131	sources-commercial	2021-06-11T04:20:57Z	
1.0.132		2021-06-11T21:02:42Z	
1.0.132	sources-commercial	2021-06-11T21:02:44Z	
1.0.133		2021-06-12T03:47:07Z	
1.0.133	sources-commercial	2021-06-12T03:47:09Z	
1.0.134		2021-06-17T19:49:17Z	
1.0.134	sources-commercial	2021-06-17T19:49:19Z	
1.0.135		2021-06-22T21:33:00Z	
1.0.135	sources-commercial	2021-06-22T21:33:01Z	
1.0.136		2021-06-24T23:58:45Z	
1.0.136	sources-commercial	2021-06-24T23:58:46Z	
1.0.137		2021-07-01T02:27:42Z	
1.0.137	sources-commercial	2021-07-01T02:27:45Z	
1.0.138		2021-08-20T16:44:07Z	
1.0.138	sources-commercial	2021-08-20T16:44:10Z	
1.0.139		2021-09-16T00:00:50Z	
1.0.139	sources-commercial	2021-09-16T00:00:51Z	
1.0.14		2018-08-22T20:55:05Z	
1.0.14	sources-commercial	2018-08-22T20:55:09Z	
1.0.140		2021-11-02T22:40:21Z	
1.0.140	sources-commercial	2021-11-02T22:40:22Z	
1.0.141		2021-11-04T22:02:58Z	
1.0.141	sources-commercial	2021-11-04T22:02:59Z	
1.0.142		2021-11-15T14:57:50Z	
1.0.142	sources-commercial	2021-11-15T14:57:51Z	
1.0.143		2021-11-17T03:05:10Z	
1.0.143	sources-commercial	2021-11-17T03:05:11Z	
1.0.144		2021-11-23T15:31:09Z	
1.0.144	sources-commercial	2021-11-23T15:31:10Z	
1.0.145		2021-12-02T19:42:38Z	
1.0.145	sources-commercial	2021-12-02T19:42:39Z	
1.0.146		2021-12-09T16:35:11Z	
1.0.146	sources-commercial	2021-12-09T16:35:14Z	
1.0.147		2021-12-14T02:14:22Z	
1.0.147	sources-commercial	2021-12-14T02:14:24Z	
1.0.148		2021-12-17T00:40:53Z	
1.0.148	sources-commercial	2021-12-17T00:40:54Z	
1.0.149		2021-12-22T19:55:31Z	
1.0.149	sources-commercial	2021-12-22T19:55:33Z	
1.0.15		2018-09-12T20:03:59Z	
1.0.15	sources-commercial	2018-09-12T20:04:02Z	
1.0.150		2022-01-04T18:44:35Z	
1.0.150	sources-commercial	2022-01-04T18:44:36Z	
1.0.151		2022-01-12T17:03:21Z	
1.0.151	sources-commercial	2022-01-12T17:03:21Z	
1.0.152		2022-02-03T13:37:47Z	
1.0.152	sources-commercial	2022-02-03T13:37:52Z	
1.0.153		2022-03-14T21:13:31Z	
1.0.153	sources-commercial	2022-03-14T21:13:33Z	
1.0.154		2022-03-22T20:01:18Z	
1.0.154	sources-commercial	2022-03-22T20:01:19Z	
